"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,1.57768130282355,0.842,0.249,0,"3","TUBA1A"
0,3.45666694182619,0.902,0.096,0,"4","CALML3"
0,2.86776281597659,0.576,0.085,0,"4","CHST9"
0,2.779179750658,0.273,0.036,0,"4","CHST1"
0,2.76168182826886,0.278,0.038,0,"4","CCDC8"
5.33798066012527e-311,2.70569375442348,0.296,0.048,1.32728889114015e-306,"4","C6orf141"
1.13756862443817e-263,2.66408455570551,0.264,0.044,2.82856438466552e-259,"4","LINC02562"
0,2.6579064927457,0.354,0.054,0,"4","GPR160"
0,2.59816911005778,0.336,0.055,0,"4","MARC1"
0,2.58299436503078,0.962,0.24,0,"4","IGFBP5"
0,2.55484064542958,0.466,0.073,0,"4","GJA1"
0,2.35919318716934,0.692,0.118,0,"4","CXCL14"
0,2.34180157968901,0.388,0.076,0,"4","FAM178B"
0,2.31478050986331,0.405,0.08,0,"4","RASIP1"
0,2.27644863409746,0.682,0.155,0,"4","ZNF581"
0,2.26979929430005,0.722,0.164,0,"4","SIX1"
1.61700501405881e-204,2.24479463680849,0.253,0.051,4.02068296745724e-200,"4","HOXB2"
0,2.2095589691311,0.828,0.153,0,"4","VCAN"
0,2.17339249607594,0.275,0.036,0,"4","PEG3"
2.54586771276544e-235,2.16816131964213,0.304,0.064,6.33030006779127e-231,"4","DLGAP1"
2.70446227258901e-260,2.10039979272904,0.355,0.078,6.72464544079257e-256,"4","ASPG"
0,2.09340732478317,0.445,0.093,0,"4","TMC4"
0,2.06965207037487,0.954,0.342,0,"4","TTYH1"
0,2.0127846769657,0.648,0.132,0,"4","SELENOP"
0,2.00577111626938,0.556,0.129,0,"4","SELENBP1"
0,2.00514876505872,1,0.97,0,"4","RPL28"
0,1.98137933963695,1,0.962,0,"4","RPS5"
0,1.98028085423359,0.465,0.102,0,"4","ZNF83"
0,1.95973260758153,0.555,0.131,0,"4","MEX3A"
0,1.94514881467921,0.809,0.245,0,"4","TMEM213"
1.18467359829481e-204,1.93469701207579,0.302,0.07,2.94569090216005e-200,"4","GMPR"
0,1.9306095144441,0.524,0.117,0,"4","SNRPN"
0,1.92314124977657,0.614,0.167,0,"4","FAM3B"
0,1.9004977194127,0.522,0.129,0,"4","SERTAD4-AS1"
0,1.85737921630602,0.537,0.135,0,"4","HEY1"
1.33306630922824e-187,1.83929641381024,0.252,0.053,3.31466937789602e-183,"4","MAPK10"
0,1.82200146356846,0.594,0.164,0,"4","ATF5"
0,1.82045816776955,0.887,0.276,0,"4","TCTEX1D2"
0,1.8142125733347,0.654,0.171,0,"4","HEXIM1"
0,1.79892047238619,0.655,0.168,0,"4","YBEY"
1.18677623244087e-258,1.79233573647097,0.416,0.104,2.95091910196422e-254,"4","KIT"
1.03393474135074e-163,1.77374959900527,0.28,0.072,2.57087873436863e-159,"4","KDELC2"
1.42040005419196e-292,1.77147943928707,0.405,0.091,3.53182473474832e-288,"4","MXRA8"
0,1.76670347180886,0.583,0.143,0,"4","BASP1"
1.47275466855252e-268,1.76352744929113,0.407,0.098,3.66200448335584e-264,"4","HSD17B1"
4.57588867156185e-218,1.75801384715511,0.358,0.091,1.13779471818385e-213,"4","PRIM1"
0,1.74137044052802,0.647,0.186,0,"4","EPB41L4A-AS1"
2.54834502330185e-173,1.7391813188418,0.271,0.065,6.33645990044005e-169,"4","NWD1"
0,1.72496475242909,0.621,0.179,0,"4","RHOBTB3"
0,1.71372854057122,0.606,0.181,0,"4","MYADM"
2.98715951666623e-228,1.71328568413519,0.347,0.082,7.42757213819057e-224,"4","ZNF274"
0,1.71065067512504,0.984,0.51,0,"4","TSEN34"
0,1.70452001645991,0.826,0.312,0,"4","C19orf48"
2.19748052950015e-179,1.69968713639958,0.281,0.067,5.46403533660213e-175,"4","IL1R2"
0,1.68620097942737,1,0.972,0,"4","RPS23"
0,1.67741968015097,0.997,0.758,0,"4","EEF1B2"
1.00831542550363e-194,1.66295680402619,0.362,0.1,2.50717630551479e-190,"4","TM7SF2"
2.63907208950045e-276,1.66163906610407,0.476,0.127,6.56205275054287e-272,"4","LTBP4"
0,1.6410029760161,0.868,0.314,0,"4","EIF4B"
0,1.63197869904471,0.751,0.195,0,"4","CRABP1"
0,1.62572792750374,1,0.945,0,"4","RPL7A"
0,4.56912196516334,0.495,0.036,0,"5","PIF1"
0,3.87541753909183,0.637,0.071,0,"5","PLK1"
0,3.49728069960172,0.926,0.196,0,"5","CDC20"
0,3.40702783799029,0.393,0.047,0,"5","KIF20A"
0,3.31784267270443,0.713,0.117,0,"5","CCNB1"
0,3.18041022677117,0.867,0.207,0,"5","CCNB2"
0,3.10424720192729,0.526,0.077,0,"5","NEK2"
0,2.88804802723675,0.376,0.06,0,"5","BORA"
0,2.86256056921467,0.584,0.11,0,"5","AURKA"
0,2.82799289623973,0.466,0.078,0,"5","KIF2C"
0,2.82375277635829,0.511,0.08,0,"5","DEPDC1"
0,2.79887815080475,0.335,0.052,0,"5","CENPE"
0,2.7476980805184,0.567,0.103,0,"5","PRR11"
0,2.72156303633375,0.731,0.155,0,"5","CEP55"
0,2.7151396423916,0.694,0.151,0,"5","CDCA8"
0,2.71200712512086,0.468,0.087,0,"5","NMU"
0,2.7055296590362,0.972,0.57,0,"5","ARL6IP1"
0,2.66035535576723,0.384,0.065,0,"5","TROAP"
0,2.65552574361171,0.62,0.122,0,"5","NUF2"
0,2.65312811491031,0.409,0.072,0,"5","DLGAP5"
2.52053844105878e-292,2.64280346144271,0.373,0.076,6.26731883369264e-288,"5","PSRC1"
0,2.58222891510249,0.473,0.099,0,"5","KIF20B"
2.36041648241256e-307,2.55774288230618,0.398,0.083,5.86917558351882e-303,"5","KNSTRN"
0,2.55614214346017,0.878,0.24,0,"5","CENPF"
0,2.53843034818928,0.847,0.366,0,"5","KPNA2"
5.2481514620936e-229,2.51786788842132,0.274,0.05,1.30495286104957e-224,"5","CDC25C"
0,2.50934002017265,0.862,0.248,0,"5","CDKN3"
0,2.48672747495759,0.541,0.115,0,"5","GTSE1"
9.43978428575882e-190,2.48071875315674,0.255,0.051,2.34720236265393e-185,"5","KIF4A"
0,2.47964636487183,0.55,0.137,0,"5","FAM83D"
3.25675127742739e-272,2.45198329166445,0.309,0.054,8.0979120513232e-268,"5","HMMR"
0,2.41622430255809,0.946,0.417,0,"5","UBE2C"
0,2.4150731333678,0.483,0.1,0,"5","KIF23"
0,2.39881615018161,0.499,0.118,0,"5","PIMREG"
3.76635741743183e-286,2.38849802228295,0.35,0.066,9.36504771844424e-282,"5","ASPM"
0,2.38246734174014,0.644,0.152,0,"5","SUN2"
1.23829935341354e-278,2.30429677515572,0.416,0.096,3.07903134226276e-274,"5","ANLN"
0,2.29210115707688,0.717,0.189,0,"5","TOP2A"
0,2.27882692810149,0.727,0.193,0,"5","TPX2"
0,2.25332429556952,0.6,0.169,0,"5","CKAP2"
6.49885612153954e-195,2.1818481295088,0.325,0.078,1.61594057462081e-190,"5","TRAF3IP3"
1.29898462493437e-190,2.16028087351713,0.283,0.062,3.22992526989931e-186,"5","SGO2"
2.06229845202291e-241,2.1226788533971,0.421,0.111,5.12790510095496e-237,"5","G2E3"
0,2.06583743957025,0.835,0.259,0,"5","BIRC5"
2.99836213724405e-192,2.02293945275707,0.35,0.092,7.45542745425733e-188,"5","REEP4"
0,2.01038208540284,0.908,0.429,0,"5","PTTG1"
0,2.00911360356026,0.613,0.163,0,"5","PRC1"
3.2028243480097e-263,1.97358291802904,0.464,0.121,7.96382274132612e-259,"5","CCNA2"
9.67397628859211e-127,1.95524627866096,0.274,0.08,2.40543420415843e-122,"5","NCAPD2"
5.90937617417639e-303,1.94374106688745,0.541,0.146,1.46936638570896e-298,"5","NDC80"
1.22734724510613e-315,1.89950610770271,0.627,0.188,3.05179892495638e-311,"5","MKI67"
0,1.89261998999574,0.917,0.482,0,"5","CKS2"
4.40897540894524e-258,1.87610608621305,0.421,0.101,1.09629173543423e-253,"5","CENPA"
1.01242839442661e-209,1.85787984108251,0.423,0.119,2.51740320274175e-205,"5","NDE1"
2.90860744825587e-221,1.85311358069904,0.54,0.186,7.23225242008822e-217,"5","CDCA3"
4.34785819025008e-122,1.82388871742447,0.266,0.077,1.08109493900568e-117,"5","HJURP"
2.96439387504748e-323,1.82197898087643,0.721,0.254,7.37096537030556e-319,"5","NUSAP1"
2.78653345757621e-200,1.80320729467457,0.434,0.131,6.92871544226324e-196,"5","DBF4"
1.09580404702462e-132,1.76797496212274,0.287,0.083,2.72471676292673e-128,"5","RACGAP1"
2.74478873031425e-241,1.73459881685949,0.643,0.245,6.82491717792639e-237,"5","CDKN2C"
3.3032814405999e-68,2.7913177812078,0.281,0.131,8.21360930205166e-64,"6","FN1"
2.22920358067158e-54,1.97309613688953,0.322,0.174,5.54291470333987e-50,"6","KRT81"
