"Gene","Cluster","Centroid_Pearson_Correlation","Silhouette_Width","Rank_Within_Cluster"
"CNPY2",2,0.88955992995144,0.643914760131744,344
"FYTTD1",2,0.889473102799893,0.603701979800121,345
"RBM42",2,0.888449125809358,0.649742142558803,346
"RPS25",2,0.88744948866123,0.619334014676012,347
"KRT16",2,0.887237446392072,0.61213671888035,348
"CYB5A",2,0.887207123866034,0.618543907195927,349
"MRPL47",2,0.886800158969088,0.649237489659382,350
"DDX39A",2,0.886675064697268,0.640573693947734,351
"ARL6IP5",2,0.886195766064545,0.589906699516274,352
"TUBA1C",2,0.885974624491323,0.617244897624977,353
"RBX1",2,0.885807621761209,0.604657599594532,354
"CLDN7",2,0.885797274163303,0.619103818931392,355
"VIM",2,0.885614249180218,0.615460453879931,356
"TRMT10C",2,0.885563196572387,0.619874334891221,357
"ANKRD35",2,0.885384077033719,0.609156912016813,358
"HEXIM1",2,0.885182484330957,0.621198043880044,359
"CDKN2A",2,0.884140058360031,0.648710471247073,360
"CAPG",2,0.883702180862829,0.587762214706077,361
"ANAPC16",2,0.883070673938133,0.577511059516202,362
"COX5B",2,0.88237432606553,0.580925547421055,363
"S100P",2,0.880633021319492,0.610963220333908,364
"NACA",2,0.880578704744006,0.606435398696951,365
"MLEC",2,0.880381363360733,0.595486179207629,366
"UQCRH",2,0.880030295588455,0.634234258632747,367
"SEC63",2,0.879950489260099,0.630806615658278,368
"HIGD2A",2,0.879439482205261,0.621080995370207,369
"FAM213A",2,0.879013060229973,0.613507292700879,370
"NIPSNAP3A",2,0.878922244058571,0.634521225008268,371
"FAM162A",2,0.878812802096168,0.607699771516044,372
"FXYD3",2,0.877847268304995,0.614660227642092,373
"HNRNPA1",2,0.877622022783645,0.597183370980212,374
"CCT5",2,0.877179825465513,0.628990028647834,375
"RPL39L",2,0.876929649003629,0.628836879375329,376
"DNAJC9",2,0.876581799051094,0.634693804555775,377
"H3F3A",2,0.876311057111707,0.619701251425331,378
"SMIM7",2,0.876272124611421,0.604210103654384,379
"GTPBP4",2,0.876215749311988,0.627512462109286,380
"MYO10",2,0.87598532342027,0.631438402304438,381
"APLP2",2,0.875596866082798,0.605798625946684,382
"CCSER2",2,0.874886275303724,0.613509546517085,383
"DCUN1D5",2,0.874444155885641,0.625953364075001,384
"PAM",2,0.873902617706374,0.617164516498096,385
"MFSD1",2,0.871844376984408,0.609410316477877,386
"LURAP1L",2,0.870893264334443,0.620126448209222,387
"ERLEC1",2,0.86983280634635,0.590596609006904,388
"RPL23A",2,0.866739327563123,0.601158083928384,389
"ASPG",2,0.865222125636421,0.623817492678889,390
"HEY1",2,0.864060000459609,0.601638567541382,391
"LAPTM4B",2,0.861973264393513,0.568359668215785,392
"RPS16",2,0.861470544674598,0.609771237701297,393
"SH3YL1",2,0.859745987739308,0.610206600532193,394
"RPL35A",2,0.859691217976694,0.610817365619337,395
"AP3S1",2,0.859218785387262,0.610518048662052,396
"TMEM59",2,0.858619502158675,0.545526518249527,397
"RPL8",2,0.858105114912095,0.596185473742224,398
"CKS1B",2,0.857090307022139,0.60073568942843,399
"AQP3",2,0.85627437233318,0.592827769719338,400
"PEPD",2,0.853088266750802,0.583206309336323,401
"RHOBTB3",2,0.852554399293446,0.57461628437526,402
"KANK2",2,0.851558437364114,0.594002118220169,403
"CSTB",2,0.851151543408005,0.622861898213108,404
"TMEM213",2,0.850504314504521,0.609318011220502,405
"IGFBP5",2,0.849966887351185,0.606187580078864,406
"FAM84A",2,0.849462481837221,0.617837709866457,407
"RPL31",2,0.849348235327581,0.584513697980528,408
"TM9SF2",2,0.848110515702869,0.591423254378693,409
"GCHFR",2,0.847994119618771,0.594897713001462,410
"RFC4",2,0.846466826710262,0.61741517828726,411
"RPS5",2,0.843830493039863,0.596882164080759,412
"REEP5",2,0.843817491548041,0.544586839007902,413
"RPS10",2,0.841687657155859,0.575429646246461,414
"YBX1",2,0.838752406896965,0.610813770681023,415
"EEF1B2",2,0.83845411631536,0.549154323962774,416
"TMEM45A",2,0.837653269107389,0.56880141160598,417
"RPL7",2,0.837081426122745,0.566355321428757,418
"RPL24",2,0.835853062732429,0.572851254686303,419
"EIF4A2",2,0.832295521049236,0.57898440630068,420
"VCAN",2,0.831685630993283,0.602516239442491,421
"IGFBP3",2,0.831495968345869,0.568636237929942,422
"RPS23",2,0.831493785150012,0.571594126719672,423
"CXADR",2,0.831345121117977,0.574834243887066,424
"RPL27",2,0.829795694454732,0.568543188955581,425
"RRAGA",2,0.829704827361149,0.574492712150522,426
"EWSR1",2,0.827272981871179,0.594416684141207,427
"KRT14",2,0.826318212164046,0.576538561122636,428
"YIPF2",2,0.825054258714586,0.551373457372621,429
"PPP1R16A",2,0.824779807703827,0.574992641491063,430
"BAMBI",2,0.824243417448098,0.575493878773479,431
"DDIT4",2,0.824017038752853,0.56484862582153,432
"RABAC1",2,0.823416382001058,0.518492763761575,433
"GPI",2,0.822837263353511,0.586798027896628,434
"SERTAD4",2,0.822382960557439,0.566319471778973,435
"THUMPD3-AS1",2,0.822098535276073,0.57938115622299,436
"NDUFA4L2",2,0.819714278549583,0.580107643004666,437
"GMPR",2,0.819441169305032,0.555170493209659,438
"C19orf48",2,0.819324030647309,0.586841201791565,439
"RPL13A",2,0.819038704613504,0.568711167930652,440
"CACNA1A",2,0.817338761734369,0.581671977751211,441
"SELENBP1",2,0.81396812094571,0.540156413245194,442
"KRT5",2,0.813722595604078,0.568181812338459,443
"RPL5",2,0.810558343176398,0.514432671715789,444
"RPS26",2,0.806108600320829,0.493036931142272,445
"EEF1A1",2,0.804191970772966,0.535888033213708,446
"NUCB2",2,0.796791299788856,0.524492803606555,447
"RPL18A",2,0.794587103210071,0.531781956673865,448
"LGALS1",2,0.79096522895584,0.522594142288808,449
"SERTAD4-AS1",2,0.790252303972231,0.516477097781873,450
"GAPDH",2,0.789924502161812,0.52889822775668,451
"CALML5",2,0.789449886040778,0.585127715531442,452
"PSAP",2,0.788786416375714,0.517481553046537,453
"RPS11",2,0.787406203717277,0.488982750407129,454
"TNNT1",2,0.785721093874276,0.537682048399203,455
"COL8A1",2,0.784320280186611,0.531410156024342,456
"RPS18",2,0.781293501857175,0.528900093247086,457
"NFIX",2,0.779974335467798,0.559110274294432,458
"RPL18",2,0.777241912415146,0.487882659813149,459
"POLE4",2,0.773448658502737,0.507033122088654,460
"FAM3B",2,0.77291555476932,0.547310754491442,461
