ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,Temporal_Cluster,Database
R-HSA-5628897,TP53 Regulates Metabolic Genes,10/373,80/10039,0.125,3.3642761394101877,4.170517450916926,7.192399382929154e-4,0.003647804350714293,0.002393505577042744,PRDX1/LAMTOR5/LAMTOR2/YWHAQ/COX5B/RRAGA/DDIT4/COX4I1/PRDX2/GPI,10,2,Reactome
R-HSA-72172,mRNA Splicing,18/373,210/10039,0.08571428571428572,2.3069322098812717,3.759781940370216,8.231617993393937e-4,0.0041562321207716715,0.002727110284465566,YBX1/MAGOH/SF3B6/PRPF40A/POLR2H/NCBP2/SF3B5/PUF60/SF3B2/RBM17/PCBP2/HNRNPA1/SRSF9/SAP18/LSM4/RBM42/PRPF31/POLR2F,18,2,Reactome
R-HSA-983705,Signaling by the B Cell Receptor (BCR),11/373,96/10039,0.11458333333333333,3.0839197944593386,4.030069287655134,8.3349730880592e-4,0.004189713138931091,0.0027490788430791745,PSMB2/PSMA5/PSMB4/RPS27A/PSMD2/PSMB1/PSMB5/PSMA3/UBB/UBA52/PSMC4,11,2,Reactome
R-HSA-2467813,Separation of Sister Chromatids,16/373,176/10039,0.09090909090909091,2.446746283207409,3.803634770733296,8.46464263054273e-4,0.004236066732364526,0.0027794937375559495,PSMB2/PSMA5/PSMB4/RPS27A/SEC13/PSMD2/PSMB1/ANAPC16/TUBA1B/TUBA1C/PSMB5/PSMA3/UBB/UBA52/PSMC4/PPP2R1A,16,2,Reactome
R-HSA-5689880,Ub-specific processing proteases,14/373,143/10039,0.0979020979020979,2.6349575357618256,3.868114035080121,8.567656851542495e-4,0.004252139683718565,0.002790039999089383,PSMB2/PSMA5/PSMB4/RPS27A/PSMD2/PSMB1/MYC/VDAC2/PSMB5/PSMA3/UBB/FKBP8/UBA52/PSMC4,14,2,Reactome
R-HSA-9613829,Chaperone Mediated Autophagy,5/373,21/10039,0.23809523809523808,6.408145027447976,4.873288014287475,8.57195267805334e-4,0.004252139683718565,0.002790039999089383,RPS27A/EEF1A1/VIM/UBB/UBA52,5,2,Reactome
R-HSA-446203,Asparagine N-linked glycosylation,23/373,302/10039,0.076158940397351,2.0497576478525645,3.6386019670410796,8.708001596404559e-4,0.004300764107219893,0.0028219448979385033,OST4/RPS27A/RAB1A/SEC13/ARF4/TFG/RAD23B/TMEM258/FOLR1/TRAPPC4/TUBA1B/TUBA1C/MLEC/TMED2/TMED10/UBB/LMAN1/RPN2/DPM1/CALR/UBA52/COPE/KDELR1,23,2,Reactome
R-HSA-3700989,Transcriptional Regulation by TP53,25/373,343/10039,0.0728862973760933,1.9616770492187685,3.5598739815756404,9.916010189510742e-4,0.0048760902279724565,0.0031994449352883625,MEAF6/PRDX1/LAMTOR5/LAMTOR2/YWHAQ/RPS27A/COX5B/POLR2H/RFC4/CCNH/CSNK2B/HDAC2/PERP/IGFBP3/RRAGA/CDKN2A/DDIT4/COX4I1/UBB/PCNA/PRDX2/UBA52/GPI/PPP2R1A/POLR2F,25,2,Reactome
R-HSA-1980145,Signaling by NOTCH2,6/373,32/10039,0.1875,5.046414209115282,4.5034774501857715,0.0010082579691306625,0.004915257599511979,0.0032251445927273916,APH1A/RPS27A/MDK/UBB/UBA52/PSENEN,6,2,Reactome
R-HSA-5656169,Termination of translesion DNA synthesis,6/373,32/10039,0.1875,5.046414209115282,4.5034774501857715,0.0010082579691306625,0.004915257599511979,0.0032251445927273916,RPS27A/POLE4/RFC4/UBB/PCNA/UBA52,6,2,Reactome
R-HSA-1358803,Downregulation of ERBB2:ERBB3 signaling,4/373,13/10039,0.3076923076923077,8.281295112394309,5.160253958192263,0.001026819491924322,0.004962960877634223,0.0032564450823510884,RPS27A/ERBB3/UBB/UBA52,4,2,Reactome
R-HSA-9938206,Developmental Lineage of Mammary Stem Cells,4/373,13/10039,0.3076923076923077,8.281295112394309,5.160253958192263,0.001026819491924322,0.004962960877634223,0.0032564450823510884,EPCAM/DLX5/ALDH1A1/KRT5,4,2,Reactome
R-HSA-3858494,Beta-catenin independent WNT signaling,13/373,130/10039,0.1,2.69142091152815,3.8129672380161677,0.0010676883101576225,0.005138533952290515,0.0033716472952345965,PSMB2/PSMA5/PSMB4/RPS27A/AP2M1/PSMD2/PSMB1/PSMB5/PSMA3/PFN1/UBB/UBA52/PSMC4,13,2,Reactome
R-HSA-9663891,Selective autophagy,10/373,85/10039,0.11764705882352941,3.166377542974294,3.940028886523496,0.0011599276646912864,0.005558805884601038,0.003647408579872243,RPS27A/CSNK2B/HSF1/VIM/VDAC2/TUBA1B/TUBA1C/MAP1LC3B/UBB/UBA52,10,2,Reactome
R-HSA-202403,TCR signaling,11/373,100/10039,0.11,2.960563002680965,3.8704732813927034,0.0011728786631071922,0.005597155139131791,0.0036725714301157914,PSMB2/PSMA5/PSMB4/RPS27A/PSMD2/PSMB1/PSMB5/PSMA3/UBB/UBA52/PSMC4,11,2,Reactome
R-HSA-5654738,Signaling by FGFR2,9/373,71/10039,0.1267605633802817,3.411660310387796,4.005861335770345,0.0011896544448935392,0.005651805120907698,0.0037084299969658216,RPS27A/POLR2H/NCBP2/FGFBP2/HNRNPA1/UBB/UBA52/PPP2R1A/POLR2F,9,2,Reactome
R-HSA-2559585,Oncogene Induced Senescence,6/373,33/10039,0.18181818181818182,4.893492566414818,4.4006890909416345,0.001194324866398709,0.005651805120907698,0.0037084299969658216,RPS27A/CDKN2A/CDK4/UBB/ID1/UBA52,6,2,Reactome
R-HSA-5619115,Disorders of transmembrane transporters,14/373,148/10039,0.0945945945945946,2.5459387000941964,3.721839511741135,0.001199749867153277,0.005653821248959819,0.0037097528786976326,PSMB2/PSMA5/PSMB4/ERLEC1/RPS27A/SEC13/PSMD2/PSMB1/SLC3A2/PSMB5/PSMA3/UBB/UBA52/PSMC4,14,2,Reactome
