"Database","Temporal_Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Biological_Theme"
"Reactome","1","R-HSA-5628897","TP53 Regulates Metabolic Genes","3/43","80/10039",0.00478173948427382,0.0331841197944785,0.02534898039856,"MT-CO1/MT-CO2/MT-CO3",3,"DNA damage / repair / checkpoint"
"GO_BP","1","GO:1902230","negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage","2/52","30/15373",0.00459467374337596,0.0336573691081034,0.0245903908649925,"CD74/CLU",2,"DNA damage / repair / checkpoint"
"GO_BP","1","GO:0008630","intrinsic apoptotic signaling pathway in response to DNA damage","3/52","110/15373",0.0061074914138822,0.0432011888204551,0.0315631954332273,"CD74/CLU/IFI16",3,"DNA damage / repair / checkpoint"
"GO_BP","1","GO:1901798","positive regulation of signal transduction by p53 class mediator","2/52","35/15373",0.006217276351628,0.0432011888204551,0.0315631954332273,"RPL37/RPS15",2,"DNA damage / repair / checkpoint"
"Reactome","1","R-HSA-9635486","Infection with Mycobacterium tuberculosis","3/43","27/10039",0.000199308556570017,0.00255114952409621,0.00194879477535127,"LTF/UBC/B2M",3,"Growth / MYC / mTOR signaling"
"GO_BP","1","GO:0002478","antigen processing and presentation of exogenous peptide antigen","7/52","39/15373",4.71449805551329e-11,1.14656592710083e-08,8.3769186502173e-09,"CD74/HLA-DRA/HLA-A/B2M/HLA-DPA1/HLA-DRB1/HLA-DQA1",7,"Immune / antigen-presentation / inflammatory processes"
"GO_BP","1","GO:0002396","MHC protein complex assembly","6/52","22/15373",7.95999766884106e-11,1.29197309864205e-08,9.43927714035566e-09,"HLA-DRA/HLA-A/B2M/HLA-DPA1/HLA-DRB1/HLA-DQA1",6,"Immune / antigen-presentation / inflammatory processes"
"GO_BP","1","GO:0002501","peptide antigen assembly with MHC protein complex","6/52","22/15373",7.95999766884106e-11,1.29197309864205e-08,9.43927714035566e-09,"HLA-DRA/HLA-A/B2M/HLA-DPA1/HLA-DRB1/HLA-DQA1",6,"Immune / antigen-presentation / inflammatory processes"
"GO_BP","1","GO:0019884","antigen processing and presentation of exogenous antigen","7/52","48/15373",2.2052981261289e-10,2.68164252137275e-08,1.95923328258189e-08,"CD74/HLA-DRA/HLA-A/B2M/HLA-DPA1/HLA-DRB1/HLA-DQA1",7,"Immune / antigen-presentation / inflammatory processes"
"GO_BP","1","GO:0019886","antigen processing and presentation of exogenous peptide antigen via MHC class II","6/52","29/15373",4.97736728428375e-10,5.04373218140753e-08,3.68499823503112e-08,"CD74/HLA-DRA/B2M/HLA-DPA1/HLA-DRB1/HLA-DQA1",6,"Immune / antigen-presentation / inflammatory processes"
