"Gene","Cluster","Silhouette_Width"
"RPS7",2,0.640676342181506
"DDX39A",2,0.640573693947734
"CCNH",2,0.640216688948871
"HAT1",2,0.640123712033826
"CCND1",2,0.639712434701279
"KRT6B",2,0.639710744951478
"COX4I1",2,0.639355454311719
"YIPF3",2,0.638988019731813
"TTC3",2,0.638684105503581
"FABP5",2,0.637999915771281
"MBOAT7",2,0.636824305829379
"MDK",2,0.636397830367331
"NOTCH3",2,0.63587753242874
"UBXN4",2,0.63511944266506
"PRDX4",2,0.634842052444352
"DNAJC9",2,0.634693804555775
"NIPSNAP3A",2,0.634521225008268
"UQCRH",2,0.634234258632747
"SLIRP",2,0.633602266648526
"EIF3D",2,0.633025148038949
"MAP1LC3B",2,0.632646993740841
"C1orf122",2,0.631658910996932
"MYO10",2,0.631438402304438
"POLR1D",2,0.631128905156956
"SEC63",2,0.630806615658278
"SF3B2",2,0.630131992341398
"YIF1A",2,0.62940453553265
"CCT5",2,0.628990028647834
"RTRAF",2,0.628979247764037
"RPL39L",2,0.628836879375329
"GTPBP4",2,0.627512462109286
"CHCHD2",2,0.627175004253031
"NPW",2,0.626944746664497
"KIT",2,0.626885358591674
"GRN",2,0.626143285441157
"DCUN1D5",2,0.625953364075001
"LMAN1",2,0.625576467690642
"UBB",2,0.624475529693352
"ASPG",2,0.623817492678889
"CSTB",2,0.622861898213108
"MSRB2",2,0.622117462850141
"SEC11C",2,0.621300734417604
"HEXIM1",2,0.621198043880044
"HIGD2A",2,0.621080995370207
"LURAP1L",2,0.620126448209222
"ARF4",2,0.619978711124733
"TRMT10C",2,0.619874334891221
"H3F3A",2,0.619701251425331
"PSMG1",2,0.619647384394621
"RPS25",2,0.619334014676012
"CLDN7",2,0.619103818931392
"CYB5A",2,0.618543907195927
"S100A1",2,0.618233300094893
"FAM84A",2,0.617837709866457
"RFC4",2,0.61741517828726
"CALR",2,0.617248377661968
"TUBA1C",2,0.617244897624977
"PAM",2,0.617164516498096
"VIM",2,0.615460453879931
"FXYD3",2,0.614660227642092
"CCSER2",2,0.613509546517085
"FAM213A",2,0.613507292700879
"KRT16",2,0.61213671888035
"TMEM258",2,0.611495089211954
"S100P",2,0.610963220333908
"RPL35A",2,0.610817365619337
"YBX1",2,0.610813770681023
"AP3S1",2,0.610518048662052
"SH3YL1",2,0.610206600532193
"RPS16",2,0.609771237701297
"MFSD1",2,0.609410316477877
"POLR2F",2,0.609342939446241
"TMEM213",2,0.609318011220502
"ANKRD35",2,0.609156912016813
"UNC50",2,0.608437580249015
"PCBP2",2,0.608150813572609
"HSBP1",2,0.608090463189509
"MYDGF",2,0.608077918154808
"FAM162A",2,0.607699771516044
"MYC",2,0.607039243991164
"NACA",2,0.606435398696951
"IGFBP5",2,0.606187580078864
"APLP2",2,0.605798625946684
"RBX1",2,0.604657599594532
"SMIM7",2,0.604210103654384
"FYTTD1",2,0.603701979800121
"VCAN",2,0.602516239442491
"TMED10",2,0.602057750708354
"HEY1",2,0.601638567541382
"RPL23A",2,0.601158083928384
"CKS1B",2,0.60073568942843
"COMMD6",2,0.598642951322056
"HNRNPA1",2,0.597183370980212
"RPS5",2,0.596882164080759
"RPL8",2,0.596185473742224
"MLEC",2,0.595486179207629
"GCHFR",2,0.594897713001462
"EWSR1",2,0.594416684141207
"TMED2",2,0.594061084255157
"KANK2",2,0.594002118220169
"EIF3L",2,0.593042964686257
"AQP3",2,0.592827769719338
"TM9SF2",2,0.591423254378693
"ERLEC1",2,0.590596609006904
"ARL6IP5",2,0.589906699516274
"CAPG",2,0.587762214706077
"C19orf48",2,0.586841201791565
"GPI",2,0.586798027896628
"CALML5",2,0.585127715531442
"RPL31",2,0.584513697980528
"PEPD",2,0.583206309336323
"CACNA1A",2,0.581671977751211
"COX5B",2,0.580925547421055
"NDUFA4L2",2,0.580107643004666
"THUMPD3-AS1",2,0.57938115622299
"EIF4A2",2,0.57898440630068
"ANAPC16",2,0.577511059516202
"KRT14",2,0.576538561122636
"BAMBI",2,0.575493878773479
"RPS10",2,0.575429646246461
"PPP1R16A",2,0.574992641491063
"CXADR",2,0.574834243887066
"RHOBTB3",2,0.57461628437526
"RRAGA",2,0.574492712150522
"RPL24",2,0.572851254686303
"RPS23",2,0.571594126719672
"TMEM45A",2,0.56880141160598
"RPL13A",2,0.568711167930652
"IGFBP3",2,0.568636237929942
"RPL27",2,0.568543188955581
"LAPTM4B",2,0.568359668215785
"KRT5",2,0.568181812338459
"RPL7",2,0.566355321428757
"SERTAD4",2,0.566319471778973
"DDIT4",2,0.56484862582153
"NFIX",2,0.559110274294432
"GMPR",2,0.555170493209659
"TET1",2,0.554334713048124
"YIPF2",2,0.551373457372621
"EEF1B2",2,0.549154323962774
"FAM3B",2,0.547310754491442
"TMEM59",2,0.545526518249527
"REEP5",2,0.544586839007902
"HSPA14.1",2,0.54135300763605
"SELENBP1",2,0.540156413245194
"TNNT1",2,0.537682048399203
"EEF1A1",2,0.535888033213708
"RPL18A",2,0.531781956673865
"COL8A1",2,0.531410156024342
"RPS18",2,0.528900093247086
"GAPDH",2,0.52889822775668
"RBP4",2,0.526272808985622
"NUCB2",2,0.524492803606555
"LGALS1",2,0.522594142288808
"RPS6",2,0.521741602561806
"RABAC1",2,0.518492763761575
"RPL28",2,0.517901553671948
"PSAP",2,0.517481553046537
"SERTAD4-AS1",2,0.516477097781873
"PTX3",2,0.515829830685926
"RPL5",2,0.514432671715789
"NECTIN4",2,0.511846182677673
"NEBL",2,0.511064469420466
"POLE4",2,0.507033122088654
"CHST9",2,0.506018070984936
"RPLP2",2,0.504023099522518
"CLEC7A",2,0.501393207114268
"CADM1",2,0.49904600745868
"DLX5",2,0.495385311151153
"RPS26",2,0.493036931142272
"CXCR4",2,0.492745944494868
"PLTP",2,0.49229350264274
"RPS11",2,0.488982750407129
"MAL",2,0.488663754345297
"RPL18",2,0.487882659813149
"MXRA8",2,0.48511025539252
"FOLR1",2,0.482120500707854
"CXCL14",2,0.478566681143873
"PPP1R1B",2,0.474560098853377
"RPL32",2,0.474409618648605
"RPL7A",2,0.470655177283148
"UBA52",2,0.461949742460413
"CDA",2,0.454162817173239
"FGFBP2",2,0.453696013043839
"RPS27A",2,0.452851374326522
"GJA1",2,0.449613029978647
"HOOK2",2,0.446940484886902
"GPX3",2,0.444653493709698
"HSD17B1",2,0.443738655458999
"CALML3",2,0.442669312042116
"ERBB3",2,0.434692389729273
"ID1",2,0.425619729395487
"NCBP2",2,0.419256026489435
"JUNB",2,0.418838390456702
"ALDH1A1",2,0.418812834387784
"AC020916.1",2,0.417524552442092
"CHST1",2,0.411873397024837
"RPL21",2,0.411772360583667
"RPL41",2,0.410974454209651
"RPS24",2,0.410434141446751
"RPS9",2,0.406629763051108
"P4HA1",2,0.405398525688596
"RPL6",2,0.400243126617039
"LTBP4",2,0.397743604897779
"AL139393.2",2,0.39221306091508
"RPL10A",2,0.378891367865156
"DLX1",2,0.377967221642803
"CA2",2,0.374358179075166
"TF",2,0.36328861171229
"AC011503.1",2,0.35510631185442
"RPL10",2,0.346716337353875
"KIAA1324",2,0.344396720231989
"SCRG1",2,0.338092305655146
"CTHRC1",2,0.288010211104563
