"Gene","Cluster","Centroid_Pearson_Correlation","Silhouette_Width","Rank_Within_Cluster","Peak_Bin","Peak_Z_Score","Trough_Bin","Trough_Z_Score","Early_Mean","Late_Mean","Early_Late_Difference","Overall_Slope","Temporal_Pattern"
"ATRAID",2,0.963895948622671,0.691165083521414,81,17,1.24152176187086,5,-1.74480265647638,-0.848177321522825,1.06407457370548,1.91225189522831,0.136389487838305,"Late_Increasing"
"DNAJB11",2,0.963734222249265,0.695985601600143,82,20,1.43224301617633,6,-1.8159397230881,-1.02234874111179,1.16362904241678,2.18597778352856,0.144649320165767,"Late_Increasing"
"TECR",2,0.963559976277515,0.699607238003048,83,17,1.18640627590913,5,-1.97146355010412,-1.04421160822281,1.09850970427729,2.1427213125001,0.150382748400594,"Late_Increasing"
"DYNLT1",2,0.963237709628235,0.708354042054992,84,10,1.09579319230734,3,-1.51790357837847,-1.0823848232131,0.945691252229038,2.02807607544214,0.13539550405796,"Early_Low_Late_Increasing"
"CUTA",2,0.962754106743741,0.698903583579536,85,17,1.04374702762412,6,-1.75355813850147,-1.00614044356439,0.92547492662943,1.93161537019382,0.140035640171373,"Late_Increasing"
"PFDN4",2,0.962744604264464,0.701629261068141,86,19,1.26951139741778,5,-1.50173136568725,-1.12073762351217,0.910791826413302,2.03152944992548,0.144012000330481,"Late_Increasing"
"HSPB11",2,0.962589778438039,0.699106250610398,87,10,1.2575219752085,6,-1.79875884378872,-0.981302493171445,0.868389139264829,1.84969163243627,0.13658018828245,"Early_Low_Late_Increasing"
"CBX5",2,0.96235736440966,0.705377747571669,88,20,1.28425851243598,5,-1.46225017984699,-1.12072193443922,0.841751337191697,1.96247327163092,0.13954889415697,"Late_Increasing"
"PSMB1",2,0.961944785270182,0.701459336628738,89,19,1.53154859211609,7,-1.519543465142,-1.02593187213582,1.15009246019966,2.17602433233548,0.140945258889561,"Late_Increasing"
"RER1",2,0.961618904720186,0.688473590948547,90,20,1.38139112916002,7,-1.81927844287084,-0.827866425376282,1.22819476789381,2.05606119327009,0.140053974292037,"Late_Increasing"
