"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","Enrichment_Group"
"GO:0001959","regulation of cytokine-mediated signaling pathway",76,-0.30310957437846,-1.20240856119635,0.189591078066914,0.502373675258116,0.417589317546216,1018,"tags=22%, list=17%, signal=19%","81844/6868/29108/8877/84888/9093/11240/11274/3654/972/834/1906/23170/114769/857/2621/26525","TotalCell"
"GO:0000280","nuclear division",184,-0.262189183463998,-1.17673578519715,0.188888888888889,0.502373675258116,0.417589317546216,1697,"tags=38%, list=29%, signal=27%","51203/7320/387/10726/9184/92421/9493/80346/3550/9212/5347/11004/1028/4926/9585/51451/4288/25970/84057/11065/25906/11130/283489/9133/54443/4361/11044/3833/7329/57405/10419/9319/9525/51547/2316/2175/201254/137886/10403/5810/23353/8877/9134/54892/4781/332/8766/998/27183/29781/55055/55844/2059/81620/4605/1906/858/3622/994/54820/1843/79643/3976/9088/9055/100130958/5728/7124/898","TotalCell"
"GO:1903351","cellular response to dopamine",10,-0.512685706073723,-1.2819180760613,0.19047619047619,0.502978912478027,0.418092410383409,1762,"tags=70%, list=30%, signal=49%","25942/409/10419/2316/207/10681/858","TotalCell"
"GO:0030509","BMP signaling pathway",46,-0.339377893543032,-1.23465398663319,0.190412782956059,0.502978912478027,0.418092410383409,811,"tags=26%, list=14%, signal=23%","5595/1958/3611/8321/3397/2297/6422/23213/857/11167/4681/7130","TotalCell"
"GO:0002218","activation of innate immune response",142,-0.273009729023763,-1.18751303686963,0.190585533869116,0.502978912478027,0.418092410383409,1221,"tags=29%, list=21%, signal=23%","409/90864/9212/55666/5515/253260/2664/8473/4814/55146/10318/3920/148022/84233/79155/79184/57402/81844/29108/7511/207/10084/84243/64332/57162/55765/5058/3654/834/54606/84937/9424/4792/4067/7124/857/80342/6280/64127/6279/2867","TotalCell"
"GO:1904427","positive regulation of calcium ion transmembrane transport",11,-0.49175904662196,-1.27259984683479,0.191522762951334,0.50306027210396,0.418160039147299,2182,"tags=73%, list=37%, signal=46%","5170/5530/6717/578/9446/5534/2539/857","TotalCell"
"GO:0048333","mesodermal cell differentiation",11,-0.491163638656669,-1.27105901888126,0.191522762951334,0.50306027210396,0.418160039147299,810,"tags=36%, list=14%, signal=31%","6881/3691/2260/2303","TotalCell"
"GO:1903902","positive regulation of viral life cycle",13,-0.472173624909609,-1.27061871658857,0.191588785046729,0.50306027210396,0.418160039147299,1681,"tags=46%, list=29%, signal=33%","23633/2332/3123/27183/972/5045","TotalCell"
"GO:0010575","positive regulation of vascular endothelial growth factor production",11,-0.490495606798377,-1.26933025100931,0.191522762951334,0.50306027210396,0.418160039147299,256,"tags=27%, list=4%, signal=26%","6095/284340/23213","TotalCell"
"GO:0030866","cortical actin cytoskeleton organization",20,0.359382370950661,1.26474416031731,0.191693290734824,0.50306027210396,0.418160039147299,298,"tags=20%, list=5%, signal=19%","3748/2037/114793/9475","BRCA1_tumour"
"GO:0002763","positive regulation of myeloid leukocyte differentiation",18,-0.426712338274101,-1.25350093576492,0.191044776119403,0.50306027210396,0.418160039147299,858,"tags=33%, list=15%, signal=29%","3123/7071/972/3976/146433/7124","TotalCell"
"GO:0001889","liver development",63,-0.315282466604381,-1.21192393974376,0.190897597977244,0.50306027210396,0.418160039147299,1167,"tags=29%, list=20%, signal=23%","3280/10419/382/1854/2146/2671/2002/6881/1459/1050/6715/3988/634/1051/4357/6648/9076/7124","TotalCell"
"GO:0071375","cellular response to peptide hormone stimulus",135,-0.276165568365243,-1.19135674408401,0.190751445086705,0.50306027210396,0.418160039147299,1221,"tags=27%, list=21%, signal=22%","8473/2195/4790/4690/1509/3265/5447/207/10499/3480/8660/5595/3638/688/10458/4929/5058/1445/5315/5905/57761/2805/6715/1906/858/9564/55829/634/9021/183/23516/4067/5879/5791/857/8412/2303","TotalCell"
"GO:0015850","organic hydroxy compound transport",67,-0.313825181480946,-1.22111111296055,0.191969887076537,0.503432609126329,0.418469537774966,1086,"tags=33%, list=19%, signal=27%","150684/10257/9525/57153/26031/60/4828/5595/6696/200931/8273/27183/83930/5045/3988/23461/302/634/4792/183/857/1066","TotalCell"
"GO:0099504","synaptic vesicle cycle",66,-0.312962524898168,-1.21479081329974,0.192211055276382,0.503711580342103,0.418701427711377,1429,"tags=35%, list=24%, signal=27%","824/1175/2332/808/1499/528/23557/5874/382/537/8573/60/80331/5534/529/1785/836/526/1212/5358/5728/5879/4638","TotalCell"
"GO:0031579","membrane raft organization",17,-0.438528184370542,-1.27419199255862,0.192716236722307,0.504611589143857,0.419449544262502,711,"tags=41%, list=12%, signal=36%","8826/3611/11252/858/302/857/27040","TotalCell"
"GO:1903076","regulation of protein localization to plasma membrane",53,-0.330356217590381,-1.22880386401803,0.192959582790091,0.504611589143857,0.419449544262502,1284,"tags=32%, list=22%, signal=25%","51201/8301/4323/150684/382/10519/60/1956/207/5621/3958/8766/1445/27183/598/4067/7124","TotalCell"
