"Gene","Bin","Z_Score","Bin_Number","Pseudotime_Bin_Center","Cluster","Silhouette_Width"
"LSR","Bin_10",0.803166832829401,10,12.3414553782853,2,0.719829291397525
"LSR","Bin_11",0.862846169765929,11,13.6405559444206,2,0.719829291397525
"LSR","Bin_12",0.574086447832318,12,14.9396565105559,2,0.719829291397525
"LSR","Bin_13",0.489893036501717,13,16.2387570766912,2,0.719829291397525
"LSR","Bin_14",0.274963430658305,14,17.5378576428265,2,0.719829291397525
"LSR","Bin_15",0.454686021093084,15,18.8369582089617,2,0.719829291397525
"LSR","Bin_16",0.65461405649064,16,20.136058775097,2,0.719829291397525
"LSR","Bin_17",0.989649743968697,17,21.4351593412323,2,0.719829291397525
"LSR","Bin_18",1.00151351563387,18,22.7342599073676,2,0.719829291397525
"LSR","Bin_19",1.20302636570633,19,24.0333604735029,2,0.719829291397525
"LSR","Bin_20",1.43487116246886,20,25.3324610396382,2,0.719829291397525
"GPX3","Bin_1",-0.766841774794818,1,0.649550283067647,2,0.444653493709698
"GPX3","Bin_2",-0.709645756801913,2,1.94865084920294,2,0.444653493709698
"GPX3","Bin_3",-0.766841774794818,3,3.24775141533823,2,0.444653493709698
"GPX3","Bin_4",-0.528636413540468,4,4.54685198147353,2,0.444653493709698
"GPX3","Bin_5",-0.643229646723581,5,5.84595254760882,2,0.444653493709698
"GPX3","Bin_6",-0.766841774794818,6,7.14505311374411,2,0.444653493709698
"GPX3","Bin_7",-0.505941508195992,7,8.4441536798794,2,0.444653493709698
