"Gene","Cluster","Centroid_Pearson_Correlation","Silhouette_Width","Rank_Within_Cluster","Temporal_Cluster"
"RPL8","2",0.858105114912095,0.596185473742224,398,"2"
"CKS1B","2",0.857090307022139,0.60073568942843,399,"2"
"AQP3","2",0.85627437233318,0.592827769719338,400,"2"
"PEPD","2",0.853088266750802,0.583206309336323,401,"2"
"RHOBTB3","2",0.852554399293446,0.57461628437526,402,"2"
"KANK2","2",0.851558437364114,0.594002118220169,403,"2"
"CSTB","2",0.851151543408005,0.622861898213108,404,"2"
"TMEM213","2",0.850504314504521,0.609318011220502,405,"2"
"IGFBP5","2",0.849966887351185,0.606187580078864,406,"2"
"FAM84A","2",0.849462481837221,0.617837709866457,407,"2"
"RPL31","2",0.849348235327581,0.584513697980528,408,"2"
"TM9SF2","2",0.848110515702869,0.591423254378693,409,"2"
"GCHFR","2",0.847994119618771,0.594897713001462,410,"2"
"RFC4","2",0.846466826710262,0.61741517828726,411,"2"
"RPS5","2",0.843830493039863,0.596882164080759,412,"2"
"REEP5","2",0.843817491548041,0.544586839007902,413,"2"
"RPS10","2",0.841687657155859,0.575429646246461,414,"2"
"YBX1","2",0.838752406896965,0.610813770681023,415,"2"
"EEF1B2","2",0.83845411631536,0.549154323962774,416,"2"
"TMEM45A","2",0.837653269107389,0.56880141160598,417,"2"
"RPL7","2",0.837081426122745,0.566355321428757,418,"2"
"RPL24","2",0.835853062732429,0.572851254686303,419,"2"
"EIF4A2","2",0.832295521049236,0.57898440630068,420,"2"
"VCAN","2",0.831685630993283,0.602516239442491,421,"2"
"IGFBP3","2",0.831495968345869,0.568636237929942,422,"2"
"RPS23","2",0.831493785150012,0.571594126719672,423,"2"
"CXADR","2",0.831345121117977,0.574834243887066,424,"2"
"RPL27","2",0.829795694454732,0.568543188955581,425,"2"
"RRAGA","2",0.829704827361149,0.574492712150522,426,"2"
"EWSR1","2",0.827272981871179,0.594416684141207,427,"2"
"KRT14","2",0.826318212164046,0.576538561122636,428,"2"
"YIPF2","2",0.825054258714586,0.551373457372621,429,"2"
"PPP1R16A","2",0.824779807703827,0.574992641491063,430,"2"
"BAMBI","2",0.824243417448098,0.575493878773479,431,"2"
"DDIT4","2",0.824017038752853,0.56484862582153,432,"2"
"RABAC1","2",0.823416382001058,0.518492763761575,433,"2"
"GPI","2",0.822837263353511,0.586798027896628,434,"2"
"SERTAD4","2",0.822382960557439,0.566319471778973,435,"2"
"THUMPD3-AS1","2",0.822098535276073,0.57938115622299,436,"2"
"NDUFA4L2","2",0.819714278549583,0.580107643004666,437,"2"
"GMPR","2",0.819441169305032,0.555170493209659,438,"2"
"C19orf48","2",0.819324030647309,0.586841201791565,439,"2"
"RPL13A","2",0.819038704613504,0.568711167930652,440,"2"
"CACNA1A","2",0.817338761734369,0.581671977751211,441,"2"
"SELENBP1","2",0.81396812094571,0.540156413245194,442,"2"
"KRT5","2",0.813722595604078,0.568181812338459,443,"2"
"RPL5","2",0.810558343176398,0.514432671715789,444,"2"
"RPS26","2",0.806108600320829,0.493036931142272,445,"2"
"EEF1A1","2",0.804191970772966,0.535888033213708,446,"2"
"NUCB2","2",0.796791299788856,0.524492803606555,447,"2"
"RPL18A","2",0.794587103210071,0.531781956673865,448,"2"
"LGALS1","2",0.79096522895584,0.522594142288808,449,"2"
"SERTAD4-AS1","2",0.790252303972231,0.516477097781873,450,"2"
"GAPDH","2",0.789924502161812,0.52889822775668,451,"2"
"CALML5","2",0.789449886040778,0.585127715531442,452,"2"
"PSAP","2",0.788786416375714,0.517481553046537,453,"2"
"RPS11","2",0.787406203717277,0.488982750407129,454,"2"
"TNNT1","2",0.785721093874276,0.537682048399203,455,"2"
"COL8A1","2",0.784320280186611,0.531410156024342,456,"2"
"RPS18","2",0.781293501857175,0.528900093247086,457,"2"
"NFIX","2",0.779974335467798,0.559110274294432,458,"2"
"RPL18","2",0.777241912415146,0.487882659813149,459,"2"
"POLE4","2",0.773448658502737,0.507033122088654,460,"2"
"FAM3B","2",0.77291555476932,0.547310754491442,461,"2"
"UBA52","2",0.770383956335352,0.461949742460413,462,"2"
"TET1","2",0.768996068374142,0.554334713048124,463,"2"
"PTX3","2",0.768143396004511,0.515829830685926,464,"2"
"RPLP2","2",0.768097677571969,0.504023099522518,465,"2"
"RPS6","2",0.767090845342518,0.521741602561806,466,"2"
"RBP4","2",0.764916259475313,0.526272808985622,467,"2"
"CADM1","2",0.764604784422462,0.49904600745868,468,"2"
"CLEC7A","2",0.763158530456216,0.501393207114268,469,"2"
"HSPA14.1","2",0.75864092578335,0.54135300763605,470,"2"
"RPL28","2",0.756817177382774,0.517901553671948,471,"2"
"RPL7A","2",0.756330987816335,0.470655177283148,472,"2"
"PLTP","2",0.746509279898125,0.49229350264274,473,"2"
"JUNB","2",0.746429718781965,0.418838390456702,474,"2"
"MXRA8","2",0.745260247210904,0.48511025539252,475,"2"
"CXCR4","2",0.74269124647937,0.492745944494868,476,"2"
"PPP1R1B","2",0.740479163885568,0.474560098853377,477,"2"
"DLX5","2",0.735031178368889,0.495385311151153,478,"2"
"MAL","2",0.733857149710341,0.488663754345297,479,"2"
"RPL32","2",0.730657455389836,0.474409618648605,480,"2"
"FOLR1","2",0.730442376521288,0.482120500707854,481,"2"
"CXCL14","2",0.721472868866648,0.478566681143873,482,"2"
"RPS27A","2",0.71784207085245,0.452851374326522,483,"2"
"RPS9","2",0.714892339241327,0.406629763051108,484,"2"
"CHST9","2",0.707288375251994,0.506018070984936,485,"2"
"NECTIN4","2",0.699633466375149,0.511846182677673,486,"2"
"RPL6","2",0.698289062247742,0.400243126617039,487,"2"
"RPL10A","2",0.697846974133229,0.378891367865156,488,"2"
"AC020916.1","2",0.690436743421041,0.417524552442092,489,"2"
"RPS24","2",0.689985036103747,0.410434141446751,490,"2"
"NEBL","2",0.688044295806712,0.511064469420466,491,"2"
"CDA","2",0.687100680773897,0.454162817173239,492,"2"
"RPL21","2",0.686226619314753,0.411772360583667,493,"2"
"GJA1","2",0.680795551339185,0.449613029978647,494,"2"
"CALML3","2",0.673933085265244,0.442669312042116,495,"2"
"FGFBP2","2",0.667899846945449,0.453696013043839,496,"2"
"RPL41","2",0.666932191416448,0.410974454209651,497,"2"
"GPX3","2",0.662072362892962,0.444653493709698,498,"2"
"RPL10","2",0.653862201113953,0.346716337353875,499,"2"
"ID1","2",0.632984713470038,0.425619729395487,500,"2"
"ALDH1A1","2",0.615496782568749,0.418812834387784,501,"2"
"AL139393.2","2",0.614109365016947,0.39221306091508,502,"2"
"ERBB3","2",0.604022954146257,0.434692389729273,503,"2"
"CHST1","2",0.602559440173402,0.411873397024837,504,"2"
"CA2","2",0.602208885958339,0.374358179075166,505,"2"
"HOOK2","2",0.587085956624618,0.446940484886902,506,"2"
"DLX1","2",0.586726749306348,0.377967221642803,507,"2"
"P4HA1","2",0.566799258251558,0.405398525688596,508,"2"
"HSD17B1","2",0.557779118994251,0.443738655458999,509,"2"
"TF","2",0.55763548984336,0.36328861171229,510,"2"
"NCBP2","2",0.54565623330326,0.419256026489435,511,"2"
"AC011503.1","2",0.541909022085097,0.35510631185442,512,"2"
"KIAA1324","2",0.522014808828022,0.344396720231989,513,"2"
"SCRG1","2",0.510635560972697,0.338092305655146,514,"2"
"LTBP4","2",0.492070978640068,0.397743604897779,515,"2"
"CTHRC1","2",0.484956075486003,0.288010211104563,516,"2"
