"Database","Temporal_Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"Reactome","2","R-HSA-69306","DNA Replication","16/373","125/10039",1.47338409818285e-05,0.000108914863728419,7.14644505826563e-05,"PSMB2/PSMA5/PSMB4/RPS27A/POLE4/PSMD2/RFC4/PSMB1/ANAPC16/PSMB5/PSMA3/UBB/PCNA/UBA52/PSMC4/RBX1",16
"Reactome","2","R-HSA-390450","Folding of actin by CCT/TriC","5/373","10/10039",1.4891750424689e-05,0.00010936733591119,7.17613400506204e-05,"CCT4/CCT5/TCP1/CCT2/CCT8",5
"Reactome","2","R-HSA-9770562","mRNA Polyadenylation","16/373","127/10039",1.8044475128471e-05,0.000131577288387584,8.63343927714151e-05,"YBX1/SF3B6/RPS27A/PRPF40A/POLR2H/NCBP2/SF3B5/PUF60/SF3B2/RBM17/PCBP2/HNRNPA1/SRSF9/UBB/UBA52/POLR2F",16
"Reactome","2","R-HSA-174143","APC/C-mediated degradation of cell cycle proteins","12/373","75/10039",1.82649286267469e-05,0.000131577288387584,8.63343927714151e-05,"PSMB2/PSMA5/PSMB4/RPS27A/PSMD2/PSMB1/ANAPC16/PSMB5/PSMA3/UBB/UBA52/PSMC4",12
"Reactome","2","R-HSA-453276","Regulation of mitotic cell cycle","12/373","75/10039",1.82649286267469e-05,0.000131577288387584,8.63343927714151e-05,"PSMB2/PSMA5/PSMB4/RPS27A/PSMD2/PSMB1/ANAPC16/PSMB5/PSMA3/UBB/UBA52/PSMC4",12
"Reactome","2","R-HSA-389960","Formation of tubulin folding intermediates by CCT/TriC","7/373","24/10039",1.84926236719449e-05,0.000132374413752973,8.68574263072695e-05,"CCT4/CCT5/TCP1/TUBA1B/TUBA1C/CCT2/CCT8",7
"Reactome","2","R-HSA-2871837","FCERI mediated NF-kB activation","11/373","64/10039",2.03318188008238e-05,0.000144624446941709,9.4895281394113e-05,"PSMB2/PSMA5/PSMB4/RPS27A/PSMD2/PSMB1/PSMB5/PSMA3/UBB/UBA52/PSMC4",11
"Reactome","2","R-HSA-446728","Cell junction organization","23/373","235/10039",2.07294573738372e-05,0.000146531351811312,9.6146496372074e-05,"PSMB2/PSMA5/PSMB4/NECTIN4/OST4/RPS27A/PSMD2/CSNK2B/HDAC2/PSMB1/MYC/TMEM258/CADM1/KRT5/PSMB5/PSMA3/CLDN7/UBB/KRT14/SEC11C/RPN2/UBA52/PSMC4",23
"Reactome","2","R-HSA-9759476","Regulation of Homotypic Cell-Cell Adhesion","18/373","158/10039",2.2173240303511e-05,0.000155763570082428,0.000102204213232921,"PSMB2/PSMA5/PSMB4/OST4/RPS27A/PSMD2/CSNK2B/HDAC2/PSMB1/MYC/TMEM258/PSMB5/PSMA3/UBB/SEC11C/RPN2/UBA52/PSMC4",18
"Reactome","2","R-HSA-9013507","NOTCH3 Activation and Transmission of Signal to the Nucleus","7/373","25/10039",2.48707191587998e-05,0.000173634465238288,0.000113930194976958,"YBX1/APH1A/RPS27A/UBB/NOTCH3/UBA52/PSENEN",7
"Reactome","2","R-HSA-69002","DNA Replication Pre-Initiation","13/373","90/10039",2.55946501504059e-05,0.000177592327117234,0.000116527144695099,"PSMB2/PSMA5/PSMB4/RPS27A/POLE4/PSMD2/PSMB1/ANAPC16/PSMB5/PSMA3/UBB/UBA52/PSMC4",13
"Reactome","2","R-HSA-5689877","Josephin domain DUBs","5/373","11/10039",2.64705864892199e-05,0.00018255020316651,0.000119780253369063,"RPS27A/RAD23B/UBB/RAD23A/UBA52",5
