"Database","Temporal_Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Biological_Theme"
"GO_BP","1","GO:0044788","host-mediated perturbation of viral process","1/52","73/15373",0.21958311596155,0.326421844754577,0.238486874110858,"LTF",1,"Other biological processes"
"GO_BP","1","GO:0006898","receptor-mediated endocytosis","2/52","262/15373",0.222031783483182,0.329157593262876,0.240485637737073,"CLU/B2M",2,"Other biological processes"
"GO_BP","1","GO:0015833","peptide transport","2/52","262/15373",0.222031783483182,0.329157593262876,0.240485637737073,"CD74/HLA-DRB1",2,"Other biological processes"
"GO_BP","1","GO:0120192","tight junction assembly","1/52","74/15373",0.222235513214491,0.329157593262876,0.240485637737073,"ACTG1",1,"Other biological processes"
"GO_BP","1","GO:0042982","amyloid precursor protein metabolic process","1/52","75/15373",0.224879068565353,0.331860373028483,0.242460314089369,"CLU",1,"Metabolic processes"
"GO_BP","1","GO:0045913","positive regulation of carbohydrate metabolic process","1/52","75/15373",0.224879068565353,0.331860373028483,0.242460314089369,"NNMT",1,"Metabolic processes"
"GO_BP","1","GO:0150116","regulation of cell-substrate junction organization","1/52","75/15373",0.224879068565353,0.331860373028483,0.242460314089369,"ACTG1",1,"Cell adhesion / extracellular interactions"
"GO_BP","1","GO:0030500","regulation of bone mineralization","1/52","76/15373",0.22751381091302,0.334530585332808,0.244411196347723,"LTF",1,"Other biological processes"
"GO_BP","1","GO:0042130","negative regulation of T cell proliferation","1/52","76/15373",0.22751381091302,0.334530585332808,0.244411196347723,"HLA-DRB1",1,"Immune / antigen-presentation / inflammatory processes"
"GO_BP","1","GO:0045911","positive regulation of DNA recombination","1/52","76/15373",0.22751381091302,0.334530585332808,0.244411196347723,"ACTB",1,"Other biological processes"
"GO_BP","1","GO:0021879","forebrain neuron differentiation","1/52","77/15373",0.230139769063803,0.337983042489836,0.246933594062865,"B2M",1,"Other biological processes"
"GO_BP","1","GO:0032436","positive regulation of proteasomal ubiquitin-dependent protein catabolic process","1/52","78/15373",0.232756971731734,0.341002985091312,0.249139992570176,"CLU",1,"Other biological processes"
"GO_BP","1","GO:0048644","muscle organ morphogenesis","1/52","78/15373",0.232756971731734,0.341002985091312,0.249139992570176,"TPM1",1,"Other biological processes"
"GO_BP","1","GO:0002704","negative regulation of leukocyte mediated immunity","1/52","79/15373",0.235365447538857,0.343582694126351,0.251024752287604,"HLA-A",1,"Other biological processes"
"GO_BP","1","GO:0032637","interleukin-8 production","1/52","79/15373",0.235365447538857,0.343582694126351,0.251024752287604,"CD74",1,"Other biological processes"
"GO_BP","1","GO:0032677","regulation of interleukin-8 production","1/52","79/15373",0.235365447538857,0.343582694126351,0.251024752287604,"CD74",1,"Other biological processes"
"GO_BP","1","GO:0002752","cell surface pattern recognition receptor signaling pathway","1/52","80/15373",0.237965225015513,0.346131236386201,0.252886741265542,"LTF",1,"Other biological processes"
"GO_BP","1","GO:0030330","DNA damage response, signal transduction by p53 class mediator","1/52","80/15373",0.237965225015513,0.346131236386201,0.252886741265542,"CD74",1,"DNA damage / repair / checkpoint"
"GO_BP","1","GO:0042310","vasoconstriction","1/52","80/15373",0.237965225015513,0.346131236386201,0.252886741265542,"ACTA2",1,"Other biological processes"
"GO_BP","1","GO:0150076","neuroinflammatory response","1/52","81/15373",0.24055633260063,0.349482079381561,0.255334898717138,"CLU",1,"Other biological processes"
"GO_BP","1","GO:0002260","lymphocyte homeostasis","1/52","82/15373",0.243138798642009,0.351553839653607,0.256848546284318,"CD74",1,"Immune / antigen-presentation / inflammatory processes"
"GO_BP","1","GO:0045638","negative regulation of myeloid cell differentiation","1/52","82/15373",0.243138798642009,0.351553839653607,0.256848546284318,"LTF",1,"Other biological processes"
"GO_BP","1","GO:0046209","nitric oxide metabolic process","1/52","82/15373",0.243138798642009,0.351553839653607,0.256848546284318,"CLU",1,"Metabolic processes"
"GO_BP","1","GO:0120193","tight junction organization","1/52","82/15373",0.243138798642009,0.351553839653607,0.256848546284318,"ACTG1",1,"Cell adhesion / extracellular interactions"
"GO_BP","1","GO:0002224","toll-like receptor signaling pathway","1/52","83/15373",0.245712651396611,0.354432484102348,0.258951711030455,"BIRC3",1,"Other biological processes"
"GO_BP","1","GO:0062208","positive regulation of pattern recognition receptor signaling pathway","1/52","83/15373",0.245712651396611,0.354432484102348,0.258951711030455,"LTF",1,"Other biological processes"
"GO_BP","1","GO:0051146","striated muscle cell differentiation","2/52","282/15373",0.247071226160718,0.355548652084536,0.259767193870627,"TPM1/ACTG1",2,"Other biological processes"
"GO_BP","1","GO:0061448","connective tissue development","2/52","282/15373",0.247071226160718,0.355548652084536,0.259767193870627,"TIMP1/ACTA2",2,"Other biological processes"
"GO_BP","1","GO:0010569","regulation of double-strand break repair via homologous recombination","1/52","84/15373",0.248277919030841,0.355601825137224,0.25980604260372,"ACTB",1,"DNA damage / repair / checkpoint"
"GO_BP","1","GO:0042267","natural killer cell mediated cytotoxicity","1/52","84/15373",0.248277919030841,0.355601825137224,0.25980604260372,"HLA-A",1,"Other biological processes"
"GO_BP","1","GO:0070227","lymphocyte apoptotic process","1/52","84/15373",0.248277919030841,0.355601825137224,0.25980604260372,"CD74",1,"Immune / antigen-presentation / inflammatory processes"
"GO_BP","1","GO:2001057","reactive nitrogen species metabolic process","1/52","84/15373",0.248277919030841,0.355601825137224,0.25980604260372,"CLU",1,"Metabolic processes"
"GO_BP","1","GO:0006289","nucleotide-excision repair","1/52","85/15373",0.250834629620834,0.357998720210016,0.261557236718537,"ACTB",1,"DNA damage / repair / checkpoint"
"GO_BP","1","GO:0033273","response to vitamin","1/52","85/15373",0.250834629620834,0.357998720210016,0.261557236718537,"MT-CYB",1,"Other biological processes"
"GO_BP","1","GO:0051899","membrane depolarization","1/52","85/15373",0.250834629620834,0.357998720210016,0.261557236718537,"B2M",1,"Other biological processes"
"GO_BP","1","GO:0021872","forebrain generation of neurons","1/52","86/15373",0.253382811152736,0.35952566903352,0.262672839910224,"B2M",1,"Other biological processes"
"GO_BP","1","GO:0030901","midbrain development","1/52","86/15373",0.253382811152736,0.35952566903352,0.262672839910224,"ACTB",1,"Other biological processes"
"GO_BP","1","GO:0048041","focal adhesion assembly","1/52","86/15373",0.253382811152736,0.35952566903352,0.262672839910224,"ACTG1",1,"Other biological processes"
"GO_BP","1","GO:0050871","positive regulation of B cell activation","1/52","86/15373",0.253382811152736,0.35952566903352,0.262672839910224,"CD74",1,"Other biological processes"
"GO_BP","1","GO:0097194","execution phase of apoptosis","1/52","86/15373",0.253382811152736,0.35952566903352,0.262672839910224,"MTRNR2L8",1,"Cell death / apoptosis"
"GO_BP","1","GO:0007422","peripheral nervous system development","1/52","87/15373",0.255922491522988,0.361862499641807,0.264380150361569,"PMP22",1,"Other biological processes"
"GO_BP","1","GO:0019915","lipid storage","1/52","87/15373",0.255922491522988,0.361862499641807,0.264380150361569,"SMIM22",1,"Other biological processes"
"GO_BP","1","GO:0032024","positive regulation of insulin secretion","1/52","87/15373",0.255922491522988,0.361862499641807,0.264380150361569,"HLA-DRB1",1,"Other biological processes"
"GO_BP","1","GO:0006094","gluconeogenesis","1/52","88/15373",0.258453698538611,0.364171144174914,0.266066867800924,"NNMT",1,"Other biological processes"
"GO_BP","1","GO:0007589","body fluid secretion","1/52","88/15373",0.258453698538611,0.364171144174914,0.266066867800924,"MT-CO2",1,"Other biological processes"
"GO_BP","1","GO:0034644","cellular response to UV","1/52","88/15373",0.258453698538611,0.364171144174914,0.266066867800924,"TIMP1",1,"Other biological processes"
"GO_BP","1","GO:1903035","negative regulation of response to wounding","1/52","89/15373",0.260976459917479,0.367300202846822,0.268352987536979,"PLAT",1,"Other biological processes"
"GO_BP","1","GO:0007162","negative regulation of cell adhesion","2/52","295/15373",0.263418419020731,0.369129973270673,0.269689835041939,"CD74/HLA-DRB1",2,"Cell adhesion / extracellular interactions"
"GO_BP","1","GO:0002228","natural killer cell mediated immunity","1/52","90/15373",0.263490803288605,0.369129973270673,0.269689835041939,"HLA-A",1,"Other biological processes"
"GO_BP","1","GO:0019217","regulation of fatty acid metabolic process","1/52","90/15373",0.263490803288605,0.369129973270673,0.269689835041939,"CD74",1,"Metabolic processes"
"GO_BP","1","GO:0042100","B cell proliferation","1/52","90/15373",0.263490803288605,0.369129973270673,0.269689835041939,"CD74",1,"Other biological processes"
"GO_BP","1","GO:0019319","hexose biosynthetic process","1/52","91/15373",0.265996756192419,0.370082443398148,0.270385718687705,"NNMT",1,"Other biological processes"
"GO_BP","1","GO:0030071","regulation of mitotic metaphase/anaphase transition","1/52","91/15373",0.265996756192419,0.370082443398148,0.270385718687705,"ACTB",1,"Cell cycle / proliferation"
"GO_BP","1","GO:0048145","regulation of fibroblast proliferation","1/52","91/15373",0.265996756192419,0.370082443398148,0.270385718687705,"CD74",1,"Other biological processes"
"GO_BP","1","GO:0050672","negative regulation of lymphocyte proliferation","1/52","91/15373",0.265996756192419,0.370082443398148,0.270385718687705,"HLA-DRB1",1,"Immune / antigen-presentation / inflammatory processes"
"GO_BP","1","GO:0060349","bone morphogenesis","1/52","91/15373",0.265996756192419,0.370082443398148,0.270385718687705,"LTF",1,"Other biological processes"
"GO_BP","1","GO:0170062","nutrient storage","1/52","91/15373",0.265996756192419,0.370082443398148,0.270385718687705,"SMIM22",1,"Other biological processes"
"GO_BP","1","GO:0001818","negative regulation of cytokine production","2/52","298/15373",0.267194292029408,0.371323724694583,0.271292610493619,"LTF/HLA-DRB1",2,"Other biological processes"
