"Gene","Pseudotime_Bin","Z_Score","Cluster"
"RPL18A","Bin_18",0.655428454913041,2
"RPL18A","Bin_19",0.598190899535263,2
"RPL18A","Bin_20",0.461490363071966,2
"TRIR","Bin_1",-0.881985028657461,2
"TRIR","Bin_2",-1.16419519318112,2
"TRIR","Bin_3",-1.24391985846393,2
"TRIR","Bin_4",-1.25633116399263,2
"TRIR","Bin_5",-1.54238666511888,2
"TRIR","Bin_6",-1.71426416363966,2
"TRIR","Bin_7",-0.758109888148957,2
"TRIR","Bin_8",-0.710680580215266,2
"TRIR","Bin_9",0.530068508955277,2
"TRIR","Bin_10",0.676272905873215,2
"TRIR","Bin_11",0.738740503996957,2
"TRIR","Bin_12",0.661854630846747,2
"TRIR","Bin_13",0.832970849707123,2
"TRIR","Bin_14",0.818628393687157,2
"TRIR","Bin_15",0.74807922454803,2
"TRIR","Bin_16",0.684403551817409,2
"TRIR","Bin_17",0.829546563856003,2
"TRIR","Bin_18",0.853481507815579,2
"TRIR","Bin_19",0.871416262160451,2
"TRIR","Bin_20",1.02640963815396,2
"MT-CO2","Bin_1",1.13663538111122,1
"MT-CO2","Bin_2",1.4455267550426,1
"MT-CO2","Bin_3",1.54783363590164,1
"MT-CO2","Bin_4",1.7905947617102,1
"MT-CO2","Bin_5",-0.0134119186993753,1
"MT-CO2","Bin_6",0.890531616984286,1
"MT-CO2","Bin_7",0.501891641207308,1
"MT-CO2","Bin_8",-2.5658406003135,1
"MT-CO2","Bin_9",-0.55461593934159,1
"MT-CO2","Bin_10",-0.157395388663699,1
"MT-CO2","Bin_11",-0.206772114990306,1
"MT-CO2","Bin_12",-0.354476535796141,1
"MT-CO2","Bin_13",-0.189716711430822,1
"MT-CO2","Bin_14",-0.24301568311008,1
"MT-CO2","Bin_15",-0.57527167911012,1
"MT-CO2","Bin_16",-0.64519251524145,1
"MT-CO2","Bin_17",-0.860720953111972,1
"MT-CO2","Bin_18",-0.359691811047463,1
"MT-CO2","Bin_19",-0.327753086769491,1
"MT-CO2","Bin_20",-0.259138854331248,1
"CALML3","Bin_1",-0.611986540402971,2
"CALML3","Bin_2",-0.549669110367106,2
"CALML3","Bin_3",-0.339939892925459,2
"CALML3","Bin_4",-1.21720031324828,2
"CALML3","Bin_5",-1.21307845466571,2
"CALML3","Bin_6",-0.929385705662232,2
"CALML3","Bin_7",-0.353479450904228,2
"CALML3","Bin_8",-0.678844497134357,2
"CALML3","Bin_9",-1.0703791166216,2
"CALML3","Bin_10",-1.01175357416685,2
"CALML3","Bin_11",-0.116278615735194,2
"CALML3","Bin_12",-0.726256669654161,2
"CALML3","Bin_13",0.623628509934364,2
"CALML3","Bin_14",1.71302449132748,2
"CALML3","Bin_15",0.78448185373499,2
"CALML3","Bin_16",0.8009453044348,2
"CALML3","Bin_17",1.1701594892584,2
"CALML3","Bin_18",1.63435277999391,2
"CALML3","Bin_19",1.42437110840219,2
"CALML3","Bin_20",0.667288404402006,2
"RPL35A","Bin_1",-1.23988278740292,2
"RPL35A","Bin_2",-0.925661114952059,2
"RPL35A","Bin_3",-0.859212473935197,2
"RPL35A","Bin_4",-1.72347871455618,2
"RPL35A","Bin_5",-0.664866311431058,2
"RPL35A","Bin_6",-2.21012900553104,2
"RPL35A","Bin_7",-1.16103785237941,2
"RPL35A","Bin_8",0.502774719348713,2
"RPL35A","Bin_9",0.737634650574938,2
"RPL35A","Bin_10",0.679783303885164,2
"RPL35A","Bin_11",0.561326507655431,2
"RPL35A","Bin_12",0.886050560467911,2
"RPL35A","Bin_13",0.783775626561098,2
"RPL35A","Bin_14",0.862587605688265,2
"RPL35A","Bin_15",0.87954271861108,2
"RPL35A","Bin_16",0.662312724398415,2
"RPL35A","Bin_17",0.587746379749575,2
"RPL35A","Bin_18",0.705913095994287,2
"RPL35A","Bin_19",0.544890491452081,2
"RPL35A","Bin_20",0.389929875800914,2
"IGKC","Bin_1",0.923444484889194,1
"IGKC","Bin_2",1.79177811852136,1
"IGKC","Bin_3",1.20410797273011,1
"IGKC","Bin_4",2.01971503252224,1
"IGKC","Bin_5",2.22541447162856,1
"IGKC","Bin_6",-0.556635435111521,1
"IGKC","Bin_7",-0.446499790092318,1
"IGKC","Bin_8",-0.556635435111521,1
"IGKC","Bin_9",-0.521525861960735,1
"IGKC","Bin_10",-0.55421856635942,1
"IGKC","Bin_11",-0.548382055554652,1
"IGKC","Bin_12",-0.554109633502931,1
"IGKC","Bin_13",-0.550391981695347,1
"IGKC","Bin_14",-0.552270543109292,1
"IGKC","Bin_15",-0.553692349647176,1
"IGKC","Bin_16",-0.556635435111521,1
"IGKC","Bin_17",-0.554611360766882,1
"IGKC","Bin_18",-0.552063054020141,1
"IGKC","Bin_19",-0.556635435111521,1
"IGKC","Bin_20",-0.550153143136497,1
"CBR3","Bin_1",-1.32326497391871,2
"CBR3","Bin_2",-1.17565053422668,2
"CBR3","Bin_3",-1.18886627961065,2
"CBR3","Bin_4",-1.14516592022028,2
"CBR3","Bin_5",-1.27264716579741,2
"CBR3","Bin_6",-1.42971985288498,2
"CBR3","Bin_7",-0.643431506626136,2
"CBR3","Bin_8",-0.777833054366325,2
"CBR3","Bin_9",0.447576556261242,2
"CBR3","Bin_10",0.648728676934065,2
"CBR3","Bin_11",0.874848230725633,2
"CBR3","Bin_12",0.604117943236151,2
"CBR3","Bin_13",0.399328879161032,2
"CBR3","Bin_14",0.375414771381373,2
"CBR3","Bin_15",0.428957819332558,2
"CBR3","Bin_16",0.438361994026346,2
"CBR3","Bin_17",0.854277609297243,2
"CBR3","Bin_18",0.906862653488695,2
"CBR3","Bin_19",1.33997179064458,2
"CBR3","Bin_20",1.63813236316225,2
"MT-ATP6","Bin_1",1.19030892126438,1
"MT-ATP6","Bin_2",1.69872753237997,1
"MT-ATP6","Bin_3",1.74745362717985,1
"MT-ATP6","Bin_4",1.58257729391308,1
"MT-ATP6","Bin_5",-0.0387254267341012,1
"MT-ATP6","Bin_6",0.370520410908145,1
"MT-ATP6","Bin_7",0.692623619324624,1
"MT-ATP6","Bin_8",-2.44958133992267,1
"MT-ATP6","Bin_9",-0.629884417327868,1
"MT-ATP6","Bin_10",-0.200736034904416,1
"MT-ATP6","Bin_11",-0.270610646048621,1
"MT-ATP6","Bin_12",-0.330366606315726,1
"MT-ATP6","Bin_13",-0.113378640188815,1
"MT-ATP6","Bin_14",-0.139442601511005,1
"MT-ATP6","Bin_15",-0.569662691104326,1
"MT-ATP6","Bin_16",-0.649929085444903,1
"MT-ATP6","Bin_17",-0.884330025134932,1
"MT-ATP6","Bin_18",-0.316920667648208,1
"MT-ATP6","Bin_19",-0.377079577338199,1
