"Gene","Spearman_rho","p_value","FDR","Absolute_Spearman_rho","Direction","Stage16B_Strong_Gene"
"CDK5R1",-0.0451461677175227,0.000210380110137708,0.000473771798674017,0.0451461677175227,"Decreasing",FALSE
"DEPDC1B",0.0451447657941152,0.000210475778785753,0.00047393785345005,0.0451447657941152,"Increasing",TRUE
"MHENCR",0.0451433741460863,0.000210570786630665,0.000474102385818782,0.0451433741460863,"Increasing",FALSE
"CABLES1",-0.0451360098910401,0.000211074215198145,0.000475186351748297,0.0451360098910401,"Decreasing",FALSE
"LUC7L",-0.0451306507529725,0.000211441281948625,0.000475916050593202,0.0451306507529725,"Decreasing",FALSE
"CLEC10A",-0.0451306346199177,0.000211442387864199,0.000475916050593202,0.0451306346199177,"Decreasing",FALSE
"TAB3",-0.0451194724998298,0.000212208850638393,0.000477591466600258,0.0451194724998298,"Decreasing",FALSE
"LINC00310",0.0451157897083966,0.000212462306505924,0.000478112094511404,0.0451157897083966,"Increasing",FALSE
"PIGN",0.0450977333489425,0.000213709093420078,0.000480867712287368,0.0450977333489425,"Increasing",FALSE
"RAB24",-0.0450883271079499,0.000214361309899927,0.000482285050175683,0.0450883271079499,"Decreasing",FALSE
"CINP",0.0450817192944633,0.000214820604031423,0.000483268087978248,0.0450817192944633,"Increasing",FALSE
"UHRF1",0.045057371240054,0.00021652096817766,0.000487042585856067,0.045057371240054,"Increasing",FALSE
"B4GALNT4",0.0450409214946786,0.000217676890756321,0.0004895917578314,0.0450409214946786,"Increasing",FALSE
"MSC-AS1",-0.04503610019557,0.000218016779299494,0.000490305193117083,0.04503610019557,"Decreasing",FALSE
"STAC3",0.0450351306038658,0.000218085193030925,0.000490408014713662,0.0450351306038658,"Increasing",FALSE
"CPB2-AS1",-0.0450329401791491,0.000218239822103647,0.000490704667116826,0.0450329401791491,"Decreasing",FALSE
"WDPCP",0.0450260663218094,0.00021872573812301,0.00049174606750294,0.0450260663218094,"Increasing",FALSE
"TMX3",0.0450209855515481,0.00021908555255437,0.000492503775169035,0.0450209855515481,"Increasing",FALSE
"PRSS16",0.0450056189339285,0.000220177183389309,0.000494906275540147,0.0450056189339285,"Increasing",FALSE
"OOEP",-0.0450037660540096,0.000220309154698712,0.00049515141269258,0.0450037660540096,"Decreasing",FALSE
"SCML4",-0.0449826970738595,0.00022181502339233,0.000498484053193453,0.0449826970738595,"Decreasing",FALSE
"SHB",-0.0449811235122053,0.000221927877804927,0.000498685810477745,0.0449811235122053,"Decreasing",FALSE
"SHANK3",-0.044980027666845,0.000222006502669264,0.000498810617870949,0.044980027666845,"Decreasing",FALSE
"AL138963.1",-0.0449728184106557,0.000222524405481044,0.000499922279077384,0.0449728184106557,"Decreasing",FALSE
"AC025165.5",0.0449425829734485,0.000224708852008488,0.000504777369220731,0.0449425829734485,"Increasing",FALSE
"NMU",0.0449309728702437,0.000225552992399437,0.000506620950603038,0.0449309728702437,"Increasing",TRUE
"MPEG1",-0.0449293252935822,0.0002256730242484,0.00050683787715734,0.0449293252935822,"Decreasing",FALSE
"ZBTB10",-0.0449278783860151,0.000225778486071863,0.000507022039282236,0.0449278783860151,"Decreasing",FALSE
"RCC1L",0.0449226035002415,0.000226163352361803,0.000507833545774995,0.0449226035002415,"Increasing",FALSE
"ATP6V1E1",0.0449189637291126,0.000226429276272999,0.000508377834832156,0.0449189637291126,"Increasing",FALSE
"AL356441.1",-0.0449164735725935,0.00022661137764651,0.000508733832426873,0.0449164735725935,"Decreasing",FALSE
"TMEM102",0.0449012608584739,0.000227726848172068,0.00051118491627697,0.0449012608584739,"Increasing",FALSE
"EMILIN3",0.0448867586171452,0.000228795018686629,0.000513529326320945,0.0448867586171452,"Increasing",FALSE
"DNLZ",-0.0448860007358071,0.000228850969914602,0.00051356373507457,0.0448860007358071,"Decreasing",FALSE
"MUC20",0.0448859071593527,0.000228857879165577,0.00051356373507457,0.0448859071593527,"Increasing",FALSE
"ZNF189",0.0448819784767437,0.000229148131527185,0.000514161678154134,0.0448819784767437,"Increasing",FALSE
"AC023886.1",-0.0448807258509379,0.000229240748533152,0.00051431608968038,0.0448807258509379,"Decreasing",FALSE
"OLR1",-0.0448759635014655,0.000229593189220061,0.00051501071706052,0.0448759635014655,"Decreasing",FALSE
"MAP3K7CL",-0.0448758982508228,0.000229598021664093,0.00051501071706052,0.0448758982508228,"Decreasing",FALSE
"AL590560.2",0.0448751923939181,0.000229650303326373,0.000515074525675445,0.0448751923939181,"Increasing",FALSE
"ZNF737",0.0448727037145094,0.000229834724862376,0.000515434662129094,0.0448727037145094,"Increasing",FALSE
"DAGLA",0.0448703988535712,0.000230005648620892,0.000515764456438465,0.0448703988535712,"Increasing",FALSE
"SH3PXD2B",0.0448618505137622,0.000230640618009496,0.000517134649842832,0.0448618505137622,"Increasing",FALSE
"TTPAL",0.0448534144387221,0.000231268860595584,0.000518489477899218,0.0448534144387221,"Increasing",FALSE
"TMEM234",-0.044845758983072,0.000231840359013386,0.000519716821398264,0.044845758983072,"Decreasing",FALSE
"C2CD4B",-0.0448356782311538,0.000232594933069787,0.000521354268606793,0.0448356782311538,"Decreasing",FALSE
"SEPT9",0.0448324012534059,0.00023284072038129,0.000521851064866178,0.0448324012534059,"Increasing",FALSE
"LCMT2",0.0448302467038902,0.000233002453541374,0.000522159392412019,0.0448302467038902,"Increasing",FALSE
"IGLV3-25",-0.044829855915965,0.000233031799671715,0.000522171006937554,0.044829855915965,"Decreasing",FALSE
"AL049629.2",-0.0448258677551369,0.000233331488043617,0.000522788331427949,0.0448258677551369,"Decreasing",FALSE
"NKD1",-0.0448242453547864,0.000233453505952938,0.000523007491565727,0.0448242453547864,"Decreasing",FALSE
"VXN",-0.0448230425753892,0.000233544003538758,0.000523155998390438,0.0448230425753892,"Decreasing",FALSE
"HEYL",0.0448181456478905,0.000233912790141421,0.000523927650258893,0.0448181456478905,"Increasing",FALSE
