"Gene","Bin_1","Bin_2","Bin_3","Bin_4","Bin_5","Bin_6","Bin_7","Bin_8","Bin_9","Bin_10","Bin_11","Bin_12","Bin_13","Bin_14","Bin_15","Bin_16","Bin_17","Bin_18","Bin_19","Bin_20"
"RPL13A",-0.358247959415925,-0.8223856929969,-1.04593304654378,-2.11543531440287,-0.167096229478138,-2.56774322340898,-0.689497231468304,-0.0417337303459681,0.674213868037013,0.505459742524501,0.515034639613797,0.819345677478965,0.846455971981166,1.00229106056621,0.896618681843218,0.601853495024327,0.51998944842744,0.646160519449947,0.41710438573247,0.363544937381799
"ALDH1A1",-0.70701959661434,-0.631581211990914,-0.72627273638682,-0.70029664795083,-0.72627273638682,-0.236331378061164,-0.0751917931441856,-0.540003335335074,-0.443825073480086,-0.450435674029579,-0.373496687324086,-0.578059636718178,-0.501537068223466,-0.433644454402917,-0.110140841295951,-0.158511480936408,1.23900130164943,1.63073654231542,2.72497681195396,1.79790569636202
"RPS23",-0.698640044539623,-0.551312590946026,-0.519554948953199,-1.87606408981366,-0.712337259571299,-2.68249907754229,-1.13293012170025,0.513227285527176,0.834468798486351,0.633979633521952,0.541440529468275,0.748562294164257,0.844959569030651,0.826945267909036,0.592832825457931,0.358318454710277,0.404814770946067,0.601292383410101,0.679741951268824,0.592754369165453
"RPS25",-0.532512697144073,-0.668806336182274,-0.727162886832883,-1.54620318668083,-1.2332921655081,-2.43584631281244,-1.39462461765011,0.376307886907515,0.890829858522925,0.606781620349439,0.388244398481118,0.768316191687248,0.775929845100516,0.794387458750452,0.768735812550488,0.484425410547032,0.531944582305485,0.738690290350035,0.804416367243858,0.609438480014608
"B2M",2.1231384581316,1.75675081139721,1.56414290746646,1.54598049637467,0.0472048684564847,-1.88405958515789,-1.23449009318975,-0.367880415922758,-0.356737524149431,-0.20630301609655,0.0995223093333377,-0.329181256082061,-0.412453404191326,-0.499385459665533,-0.250853296182277,-0.144749018448734,-0.196183344914618,-0.436603037312983,-0.449374681281309,-0.368485718564541
"ATP5F1C",-1.05337348294729,-1.2832143912832,-1.16545070735131,-1.04983177452956,-1.31931225275132,-1.84253499019369,-0.920150321055545,-0.433108777218284,0.978471899929834,0.97057358789264,0.777440951917477,0.635927867876895,0.583128955437209,0.38644624315865,0.423461588599736,0.488560088856604,0.685679602307752,0.868896491397525,1.13468887610363,1.13370054385225
"SLPI",-1.68062416395437,-1.04661855818849,-1.02886636982661,-1.39514095952171,-1.50951125742429,-1.53977616240735,-0.607020947003808,0.0959538543326262,0.512076240798371,0.654430271993155,0.743011160632954,0.409936620703488,0.534468078898553,0.54959630623039,0.59688841459485,0.738669231758553,1.04332407351461,1.07358225540953,1.23185539043361,0.623766519025956
"RPS7",-1.05366326870004,-0.959982272758065,-1.11816830826285,-1.4668505459976,-0.866053646042479,-1.96582027455517,-1.55945017986684,0.438721550793527,0.897672571311845,0.912987493971107,0.618320696367852,0.916093988306701,0.795788697451809,0.712738311059277,0.740110842022322,0.519122415181963,0.532482957783134,0.690265445905942,0.675038661213422,0.540644864814142
"RPS18",-0.707513125536062,-0.67123237640903,-0.871543819307487,-1.38922872762229,-0.0449555711645472,-3.07584133054413,-0.912182305821767,0.366883362961247,0.568827608179156,0.492460361598954,0.471427362015332,0.721111700604219,0.894086627541479,1.01104065470619,0.815893201239678,0.587986883265111,0.444360030697011,0.558558109380265,0.421668624558606,0.318192729658062
"CRABP1",-1.41807147980745,-1.07141133878401,-1.25408059232538,-1.02793030271919,-0.368551303850784,-1.49696701186845,-0.861479985190721,-0.790437514738732,0.183663769820637,0.404731499650875,0.224753511876359,-0.0814679188342725,0.245636446478808,0.460376185903387,0.608558249786646,0.528292209184213,1.52188836123252,1.32196615699981,1.20289809686753,1.66763296031822
"EIF3H",-0.631713253944915,-1.33583765332936,-1.31490209616849,-1.24508519601816,-1.09208341071076,-1.82344408935375,-1.1918662062241,-0.532174229789354,0.588199980866014,0.662060915859199,0.537444756542294,0.811650863999749,0.74626892966097,0.768724786921159,0.740181499415573,0.5210035245265,0.854145785340028,1.00164474319632,1.03981435672669,0.895965992484385
"KRT8",0.021950161165657,-1.27932624854971,-1.04443169529472,-1.76235180381948,-1.84584974713906,-1.83106911103814,-0.542920257463733,0.281244001413819,0.401547115214118,0.657214223881466,0.616899146806485,0.437285843487985,0.480376914719099,0.337526854695933,0.558931320195865,0.63043435022491,1.1283079860558,0.836711331801223,0.934392965786984,0.983126647855496
"HLA-DRA",1.09169152157769,2.0945028845767,2.06573278694692,2.28372496891938,0.0152612443360941,-0.181149572309739,-0.548628427895972,-0.374876824133882,-0.517983283642416,-0.544846397719955,-0.533481163569384,-0.543122506579149,-0.532191942646591,-0.525316306521921,-0.534431134802912,-0.548628427895972,-0.548628427895972,-0.525955166536562,-0.545584800499753,-0.546089023706601
