"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","DEG_direction","delta_pct"
0,2.30678461413621,0.69,0.131,0,"PTRHD1","Higher_in_BRCA1_tumour",0.559
1.43651106248574e-246,2.30318364588189,0.133,0.017,3.57188475687079e-242,"CLMP","Higher_in_BRCA1_tumour",0.116
0,2.29264857006903,0.231,0.027,0,"FMNL2","Higher_in_BRCA1_tumour",0.204
0,2.2906239398667,0.315,0.073,0,"CA2","Higher_in_BRCA1_tumour",0.242
0,2.28769188316881,0.417,0.055,0,"ALDH16A1","Higher_in_BRCA1_tumour",0.362
0,2.27940274234589,0.338,0.046,0,"SYNE4","Higher_in_BRCA1_tumour",0.292
0,2.27470566290784,0.17,0.019,0,"ANXA2R","Higher_in_BRCA1_tumour",0.151
0,2.27246439062672,0.431,0.059,0,"CACNA1A","Higher_in_BRCA1_tumour",0.372
4.67311009416683e-262,2.26578400217132,0.15,0.022,1.16196882491458e-257,"CNTD2","Higher_in_BRCA1_tumour",0.128
0,2.25404013655749,0.175,0.02,0,"EVI5","Higher_in_BRCA1_tumour",0.155
0,2.2475620887268,0.696,0.137,0,"HADHA","Higher_in_BRCA1_tumour",0.559
0,2.24511362348514,0.697,0.117,0,"AZGP1","Higher_in_BRCA1_tumour",0.58
0,2.24180373419639,0.186,0.02,0,"ELOVL4","Higher_in_BRCA1_tumour",0.166
6.6533076778408e-249,2.23933136380824,0.133,0.017,1.65434495409511e-244,"ERVK3-1","Higher_in_BRCA1_tumour",0.116
0,2.23566873701821,0.178,0.021,0,"A2ML1","Higher_in_BRCA1_tumour",0.157
0,2.23442106607018,0.275,0.033,0,"CLDN8","Higher_in_BRCA1_tumour",0.242
0,2.22995292052284,0.92,0.369,0,"ABRACL","Higher_in_BRCA1_tumour",0.551
2.92910903125256e-235,2.21919734391216,0.124,0.015,7.2832296062095e-231,"CCDC106","Higher_in_BRCA1_tumour",0.109
1.07664510321434e-199,2.21442155829806,0.11,0.015,2.67707804914246e-195,"CCL28","Higher_in_BRCA1_tumour",0.095
0,2.20258880822093,0.442,0.054,0,"ELF5","Higher_in_BRCA1_tumour",0.388
0,2.19944926496757,0.997,0.984,0,"RPS23","Higher_in_BRCA1_tumour",0.013
0,2.19835269171306,0.472,0.086,0,"FBXO2","Higher_in_BRCA1_tumour",0.386
0,2.19801765684858,0.483,0.076,0,"SRPRA","Higher_in_BRCA1_tumour",0.407
0,2.19008090624282,0.951,0.459,0,"VIM","Higher_in_BRCA1_tumour",0.492
0,2.18947776231623,0.389,0.062,0,"PPP1R1B","Higher_in_BRCA1_tumour",0.327
