"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","DEG_direction","delta_pct"
1.1034552405931e-105,-3.14035149891278,0.039,0.15,2.74374145573473e-101,"RAPGEF5","Higher_in_TotalCell",-0.111
1.40899704692797e-114,-3.13894994369292,0.025,0.137,3.5034711571864e-110,"OSMR","Higher_in_TotalCell",-0.112
0,-3.12108019653907,0.203,0.533,0,"PITX1","Higher_in_TotalCell",-0.33
2.2192005628049e-237,-3.11980640653837,0.053,0.262,5.51804219941439e-233,"NAPRT","Higher_in_TotalCell",-0.209
2.004072734458e-147,-3.11930244733947,0.049,0.195,4.98312685422983e-143,"CAMK1D","Higher_in_TotalCell",-0.146
3.60244760211904e-197,-3.11672303998552,0.057,0.239,8.95748596266899e-193,"TAPBPL","Higher_in_TotalCell",-0.182
0,-3.1070315228173,0.059,0.393,0,"SMIM22","Higher_in_TotalCell",-0.334
0,-3.09009915792615,0.519,0.954,0,"HLA-A","Higher_in_TotalCell",-0.435
0,-3.0796102856668,0.14,0.443,0,"CLDN1","Higher_in_TotalCell",-0.303
1.62364752201004e-66,-3.06386196906456,0.028,0.103,4.03719956347796e-62,"POLM","Higher_in_TotalCell",-0.075
0,-3.06353055145665,0.112,0.38,0,"NR2F2","Higher_in_TotalCell",-0.268
1.91836839011779e-121,-3.05048444792438,0.044,0.169,4.77002300202789e-117,"SERPINB8","Higher_in_TotalCell",-0.125
0,-3.04999977337033,0.22,0.582,0,"CD81","Higher_in_TotalCell",-0.362
0,-3.03878720351488,0.735,0.951,0,"RAC1","Higher_in_TotalCell",-0.216
1.08826566830698e-295,-3.0347184115436,0.121,0.364,2.7059725842453e-291,"PTEN","Higher_in_TotalCell",-0.243
1.93485573618743e-297,-3.02810446285396,0.095,0.343,4.81101878803004e-293,"HEXA","Higher_in_TotalCell",-0.248
0,-3.02197158400339,0.043,0.347,0,"SAA2","Higher_in_TotalCell",-0.304
3.86865563275573e-105,-3.01656945113962,0.011,0.108,9.61941223084713e-101,"SPESP1","Higher_in_TotalCell",-0.097
1.26248228285907e-64,-3.00727405967653,0.033,0.108,3.13916219632909e-60,"FAM107A","Higher_in_TotalCell",-0.075
1.93578989067589e-102,-3.00517586714127,0.034,0.141,4.81334156316561e-98,"CASP7","Higher_in_TotalCell",-0.107
5.24266854179726e-238,-3.00297271485566,0.086,0.298,1.30358953291789e-233,"BLVRA","Higher_in_TotalCell",-0.212
2.33398907378576e-98,-3.0029516479781,0.036,0.141,5.8034638319683e-94,"KIF13A","Higher_in_TotalCell",-0.105
1.61178864420274e-259,-2.99899715816311,0.047,0.271,4.00771246381012e-255,"HLA-DMA","Higher_in_TotalCell",-0.224
0,-2.99426206514816,0.067,0.441,0,"C1S","Higher_in_TotalCell",-0.374
2.53748175604413e-198,-2.98835739572341,0.069,0.254,6.30944838640372e-194,"LYN","Higher_in_TotalCell",-0.185
5.5695030694491e-104,-2.98526397432484,0.046,0.159,1.38485693821852e-99,"ETV5","Higher_in_TotalCell",-0.113
1.77373155909786e-131,-2.98090608170794,0.059,0.194,4.41038352169683e-127,"PPL","Higher_in_TotalCell",-0.135
7.69640605092941e-79,-2.98066679942265,0.034,0.121,1.9137113645636e-74,"GPC1","Higher_in_TotalCell",-0.087
1.4454846625582e-81,-2.97895241397242,0.03,0.118,3.59419761345095e-77,"FAM69C","Higher_in_TotalCell",-0.088
0,-2.97062637678726,0.055,0.331,0,"TIMP1","Higher_in_TotalCell",-0.276
2.25162308375552e-105,-2.95794345573429,0.043,0.156,5.59866079775809e-101,"SNN","Higher_in_TotalCell",-0.113
5.36729290573236e-222,-2.95221064001706,0.108,0.309,1.33457738101035e-217,"PRKAG2-AS1","Higher_in_TotalCell",-0.201
2.18566676544928e-134,-2.95010043029587,0.047,0.183,5.43466041228964e-130,"SYCE1L","Higher_in_TotalCell",-0.136
0,-2.9423441694783,0.059,0.432,0,"NNMT","Higher_in_TotalCell",-0.373
0,-2.93984532958415,0.239,0.574,0,"CHI3L1","Higher_in_TotalCell",-0.335
3.65010952660869e-78,-2.93723903534792,0.035,0.123,9.0759973379125e-74,"ARHGAP8","Higher_in_TotalCell",-0.088
5.53958899939522e-300,-2.9312458569974,0.125,0.371,1.37741880469962e-295,"PPP1R35","Higher_in_TotalCell",-0.246
2.01627376948376e-127,-2.9291498025647,0.052,0.184,5.01346472782136e-123,"SHB","Higher_in_TotalCell",-0.132
8.5224857148964e-97,-2.92184660772565,0.058,0.167,2.11911607300899e-92,"SLC39A14","Higher_in_TotalCell",-0.109
8.82502508105567e-123,-2.91924597520886,0.045,0.172,2.19434248640449e-118,"TPST2","Higher_in_TotalCell",-0.127
6.09114463679268e-91,-2.90653846125334,0.026,0.121,1.5145631139385e-86,"AGT","Higher_in_TotalCell",-0.095
0,-2.90635154777019,0.168,0.465,0,"IER5","Higher_in_TotalCell",-0.297
2.62430482217743e-177,-2.90513086293884,0.055,0.224,6.52533394034418e-173,"BIK","Higher_in_TotalCell",-0.169
0,-2.90018133554541,0.667,0.904,0,"NFKBIA","Higher_in_TotalCell",-0.237
1.00344662946017e-164,-2.89038162080151,0.121,0.285,2.49507004415271e-160,"GAN","Higher_in_TotalCell",-0.164
0,-2.88855820231308,0.195,0.521,0,"NBDY","Higher_in_TotalCell",-0.326
0,-2.8858594831858,0.474,0.749,0,"DMKN","Higher_in_TotalCell",-0.275
0,-2.8846400661294,0.528,0.781,0,"RHOV","Higher_in_TotalCell",-0.253
3.39738151215151e-125,-2.88329535332804,0.051,0.182,8.44758912996472e-121,"OPN3","Higher_in_TotalCell",-0.131
1.45865769684401e-82,-2.88235341386703,0.044,0.139,3.62695236320263e-78,"HSPB8","Higher_in_TotalCell",-0.095
2.73044423220747e-64,-2.87696308591808,0.037,0.114,6.78924958338388e-60,"AL117339.5","Higher_in_TotalCell",-0.077
0,-2.87567077992881,0.153,0.448,0,"CXCL16","Higher_in_TotalCell",-0.295
1.48597340343781e-62,-2.8665051336994,0.034,0.108,3.69487286764812e-58,"ELMO1","Higher_in_TotalCell",-0.074
0,-2.8658288099687,0.225,0.646,0,"SOD2","Higher_in_TotalCell",-0.421
0,-2.86156832101729,0.2,0.49,0,"CHI3L2","Higher_in_TotalCell",-0.29
3.54646227642103e-110,-2.84960615926139,0.063,0.185,8.8182784503209e-106,"AMFR","Higher_in_TotalCell",-0.122
0,-2.84281545355948,0.176,0.482,0,"CHCHD7","Higher_in_TotalCell",-0.306
4.30364961152502e-92,-2.84164272899984,0.042,0.143,1.0701024759057e-87,"HUS1","Higher_in_TotalCell",-0.101
0,-2.8410786308411,0.117,0.423,0,"MAFF","Higher_in_TotalCell",-0.306
9.34222557992404e-130,-2.8353198563146,0.06,0.195,2.32294439044811e-125,"AGAP3","Higher_in_TotalCell",-0.135
0,-2.83319037452246,0.198,0.531,0,"CXCL17","Higher_in_TotalCell",-0.333
0,-2.8324879413176,0.33,0.717,0,"PTP4A2","Higher_in_TotalCell",-0.387
1.15665844962555e-121,-2.82688560104067,0.034,0.157,2.87603123499392e-117,"PCGF5","Higher_in_TotalCell",-0.123
0,-2.82605994761505,0.287,0.719,0,"PMAIP1","Higher_in_TotalCell",-0.432
0,-2.82372686974009,0.518,0.88,0,"TPM1","Higher_in_TotalCell",-0.362
1.23969406020958e-130,-2.82267157952576,0.064,0.202,3.08249928071113e-126,"IL34","Higher_in_TotalCell",-0.138
4.1574100376994e-66,-2.81619779812199,0.032,0.109,1.03374000587395e-61,"HBEGF","Higher_in_TotalCell",-0.077
4.90587957098429e-62,-2.81598493721451,0.035,0.109,1.21984695532524e-57,"GINS4","Higher_in_TotalCell",-0.074
1.0378997168187e-116,-2.81502938345831,0.023,0.136,2.58073764586969e-112,"METRN","Higher_in_TotalCell",-0.113
9.17347040384636e-133,-2.81056790341371,0.066,0.205,2.2809834159164e-128,"RHBDF2","Higher_in_TotalCell",-0.139
2.58320919312594e-84,-2.80896032753501,0.061,0.161,6.42314965870766e-80,"MYLPF","Higher_in_TotalCell",-0.1
6.9383722041372e-142,-2.80612150387152,0.056,0.2,1.72522624855871e-137,"NXN","Higher_in_TotalCell",-0.144
